hpo_id1,hpo_term1,hpo_id2,hpo_term2,similarity_score,inverse_verified_by_llm
HP:0002490,Increased CSF lactate,HP:0500190,Decreased CSF leucine concentration,0.9447,f
HP:0002490,Increased CSF lactate,HP:0500194,Decreased CSF isoleucine concentration,0.9246,f
HP:0002490,Increased CSF lactate,HP:0500198,Decreased CSF glutamine concentration,0.9430,f
HP:0002490,Increased CSF lactate,HP:0500201,Decreased CSF glutamate concentration,0.9351,f
HP:0002490,Increased CSF lactate,HP:0500204,Decreased CSF arginine concentration,0.9391,f
HP:0002490,Increased CSF lactate,HP:0500207,Decreased CSF lysine concentration,0.9321,f
HP:0002490,Increased CSF lactate,HP:0500213,Decreased CSF threonine concentration,0.9261,f
HP:0002490,Increased CSF lactate,HP:0500221,Decreased CSF tyrosine concentration,0.9262,f
HP:0002490,Increased CSF lactate,HP:0500224,Decreased CSF phenylalanine concentration,0.9181,f
HP:0002490,Increased CSF lactate,HP:0500228,Decreased CSF serine concentration,0.9390,f
HP:0002490,Increased CSF lactate,HP:0500234,Decreased CSF alanine concentration,0.9538,f
HP:0002490,Increased CSF lactate,HP:0500237,Decreased CSF histidine concentration,0.9198,f
HP:0002600,Hyporeflexia of lower limbs,HP:0002395,Lower limb hyperreflexia,0.9339,t
HP:0002615,Hypotension,HP:0000822,Hypertension,0.8328,t
HP:0002615,Hypotension,HP:0000822,Hypertension,0.8328,t
HP:0002615,Hypotension,HP:0001409,Portal hypertension,0.8269,t
HP:0002615,Hypotension,HP:0002092,Pulmonary arterial hypertension,0.8420,t
HP:0002615,Hypotension,HP:0004890,Elevated pulmonary artery pressure,0.8468,t
HP:0002673,Coxa valga,HP:0002812,Coxa vara,0.9318,t
HP:0002673,Coxa valga,HP:0002812,Coxa vara,0.9318,t
HP:0002684,Thickened calvaria,HP:0010539,Thin calvarium,0.9487,t
HP:0002690,Large sella turcica,HP:0010538,Small sella turcica,0.9951,t
HP:0002700,Large foramen magnum,HP:0002677,Small foramen magnum,0.9948,t
HP:0002716,Lymphadenopathy,HP:0002732,Lymph node hypoplasia,0.9253,t
HP:0002750,Delayed skeletal maturation,HP:0005616,Accelerated skeletal maturation,0.9698,t
HP:0002904,Hyperbilirubinemia,HP:0001882,Leukopenia,0.8856,f
HP:0002904,Hyperbilirubinemia,HP:0001888,Lymphopenia,0.8763,f
HP:0002904,Hyperbilirubinemia,HP:0001913,Granulocytopenia,0.8824,f
HP:0002904,Hyperbilirubinemia,HP:0001943,Hypoglycemia,0.8864,f
HP:0002904,Hyperbilirubinemia,HP:0001988,Recurrent hypoglycemia,0.8762,f
HP:0002904,Hyperbilirubinemia,HP:0002148,Hypophosphatemia,0.9077,f
HP:0002904,Hyperbilirubinemia,HP:0002720,Decreased circulating IgA concentration,0.7693,f
HP:0002904,Hyperbilirubinemia,HP:0002850,Decreased circulating total IgM,0.7850,f
HP:0002904,Hyperbilirubinemia,HP:0002900,Hypokalemia,0.8835,f
HP:0002904,Hyperbilirubinemia,HP:0002901,Hypocalcemia,0.8857,f
HP:0002904,Hyperbilirubinemia,HP:0002902,Hyponatremia,0.9203,f
HP:0002904,Hyperbilirubinemia,HP:0002917,Hypomagnesemia,0.8923,f
HP:0002904,Hyperbilirubinemia,HP:0002920,Decreased circulating ACTH concentration,0.7704,f
HP:0002904,Hyperbilirubinemia,HP:0003073,Hypoalbuminemia,0.9235,f
HP:0002904,Hyperbilirubinemia,HP:0003075,Hypoproteinemia,0.9028,f
HP:0002904,Hyperbilirubinemia,HP:0003113,Hypochloremia,0.8362,f
HP:0002904,Hyperbilirubinemia,HP:0003146,Hypocholesterolemia,0.9030,f
HP:0002904,Hyperbilirubinemia,HP:0003233,Decreased HDL cholesterol concentration,0.8573,f
HP:0002904,Hyperbilirubinemia,HP:0003234,Decreased circulating carnitine concentration,0.8237,f
HP:0002904,Hyperbilirubinemia,HP:0003292,Decreased serum leptin,0.8090,f
HP:0002904,Hyperbilirubinemia,HP:0003351,Decreased circulating renin concentration,0.8041,f
HP:0002904,Hyperbilirubinemia,HP:0003537,Hypouricemia,0.9050,f
HP:0002904,Hyperbilirubinemia,HP:0003563,Decreased LDL cholesterol concentration,0.8374,f
HP:0002904,Hyperbilirubinemia,HP:0003572,Low plasma citrulline,0.8831,f
HP:0002904,Hyperbilirubinemia,HP:0003658,Hypomethioninemia,0.9046,f
HP:0002904,Hyperbilirubinemia,HP:0004313,Decreased circulating antibody concentration,0.7863,f
HP:0002904,Hyperbilirubinemia,HP:0004315,Decreased circulating IgG concentration,0.7837,f
HP:0002904,Hyperbilirubinemia,HP:0004319,Decreased circulating aldosterone concentration,0.8405,f
HP:0002904,Hyperbilirubinemia,HP:0005479,Decreased circulating IgE concentration,0.7661,f
HP:0002904,Hyperbilirubinemia,HP:0005510,Transient erythroblastopenia,0.8723,f
HP:0002904,Hyperbilirubinemia,HP:0005961,Hypoargininemia,0.9182,f
HP:0002904,Hyperbilirubinemia,HP:0008163,Decreased circulating cortisol level,0.8386,f
HP:0002904,Hyperbilirubinemia,HP:0010837,Decreased circulating ceruloplasmin concentration,0.8357,f
HP:0002904,Hyperbilirubinemia,HP:0010981,Hypolipoproteinemia,0.9037,f
HP:0002904,Hyperbilirubinemia,HP:0011967,Decreased circulating copper concentration,0.7658,f
HP:0002904,Hyperbilirubinemia,HP:0012052,Low serum calcitriol,0.8413,f
HP:0002904,Hyperbilirubinemia,HP:0012053,Decreased circulating calcifediol concentration,0.7916,f
HP:0002904,Hyperbilirubinemia,HP:0012101,Decreased serum creatinine,0.8151,f
HP:0002904,Hyperbilirubinemia,HP:0012153,Hypotriglyceridemia,0.9005,f
HP:0002904,Hyperbilirubinemia,HP:0012277,Hypoglycinemia,0.9007,f
HP:0002904,Hyperbilirubinemia,HP:0012279,Hyposerinemia,0.9103,f
HP:0002904,Hyperbilirubinemia,HP:0012417,Hypocapnia,0.8217,f
HP:0002904,Hyperbilirubinemia,HP:0012418,Hypoxemia,0.8422,f
HP:0002904,Hyperbilirubinemia,HP:0020222,Hypohomocysteinemia,0.8852,f
HP:0002904,Hyperbilirubinemia,HP:0030339,Decreased circulating gonadotropin concentration,0.8316,f
HP:0002904,Hyperbilirubinemia,HP:0030344,Decreased circulating luteinizing hormone level,0.8462,f
HP:0002904,Hyperbilirubinemia,HP:0030349,Decreased circulating androgen concentration,0.7974,f
HP:0002904,Hyperbilirubinemia,HP:0030689,Decreased glucagon level,0.7887,f
HP:0002904,Hyperbilirubinemia,HP:0030985,Decreased serum bile acid concentration,0.8553,f
HP:0002904,Hyperbilirubinemia,HP:0031242,Decreased circulating chylomicron concentration,0.8135,f
HP:0002904,Hyperbilirubinemia,HP:0031243,Decreased VLDL cholesterol concentration,0.8414,f
HP:0002904,Hyperbilirubinemia,HP:0031794,Decreased circulating glycerol level,0.8056,f
HP:0002904,Hyperbilirubinemia,HP:0031891,Decreased eosinophil count,0.8316,f
HP:0002904,Hyperbilirubinemia,HP:0031969,Reduced blood urea nitrogen,0.8163,f
HP:0002904,Hyperbilirubinemia,HP:0032098,Hypomanganesemia,0.8988,f
HP:0002904,Hyperbilirubinemia,HP:0032210,Decreased circulating free T3,0.7876,f
HP:0002904,Hyperbilirubinemia,HP:0032363,Decreased circulating corticosterone level,0.8310,f
HP:0002904,Hyperbilirubinemia,HP:0033445,Reduced circulating acylcarnitine concentration,0.8468,f
HP:0002904,Hyperbilirubinemia,HP:0033480,Hypobilirubinemia,0.9753,t
HP:0002904,Hyperbilirubinemia,HP:0034203,Decreased iduronate sulfatase level,0.8194,f
HP:0002904,Hyperbilirubinemia,HP:0034292,Reduced circulating creatine concentration,0.8243,f
HP:0002904,Hyperbilirubinemia,HP:0034441,Decreased circulating aspartic acid concentration,0.8118,f
HP:0002904,Hyperbilirubinemia,HP:0034869,Reduced erythrocyte free porphyrin concentration,0.8289,f
HP:0002904,Hyperbilirubinemia,HP:0034870,Reduced circulating urocanic acid concentration,0.8279,f
HP:0002904,Hyperbilirubinemia,HP:0034935,Decreased circulating 7-dehydrocholesterol concentration,0.8442,f
HP:0002904,Hyperbilirubinemia,HP:0034938,Decreased circulating sialic acid concentration,0.8265,f
HP:0002904,Hyperbilirubinemia,HP:0040171,Decreased serum testosterone concentration,0.8241,f
HP:0002904,Hyperbilirubinemia,HP:0040216,Hypoinsulinemia,0.9213,f
HP:0002904,Hyperbilirubinemia,HP:0045014,Hypolipidemia,0.8960,f
HP:0002904,Hyperbilirubinemia,HP:0100493,Hypoammonemia,0.8929,f
HP:0002904,Hyperbilirubinemia,HP:0100507,Reduced blood folate concentration,0.8128,f
HP:0002904,Hyperbilirubinemia,HP:0410179,Decreased glucose-6-phosphate dehydrogenase level in blood,0.8450,f
HP:0002904,Hyperbilirubinemia,HP:0410245,Decreased circulating IgD concentration,0.7835,f
HP:0002904,Hyperbilirubinemia,HP:0410289,Hypoamylasemia,0.9066,f
HP:0002904,Hyperbilirubinemia,HP:0410343,Decreased circulating heparan sulfate level,0.8167,f
HP:0002904,Hyperbilirubinemia,HP:0430073,Decreased circulating beta-carotene concentration,0.8254,f
HP:0002904,Hyperbilirubinemia,HP:0500132,Hypovalinemia,0.9026,f
HP:0002904,Hyperbilirubinemia,HP:0500133,Hypotyrosinemia,0.9160,f
HP:0002904,Hyperbilirubinemia,HP:0500135,Hypotryptophanemia,0.8837,f
HP:0002904,Hyperbilirubinemia,HP:0500136,Hypothreoninemia,0.9167,f
HP:0002904,Hyperbilirubinemia,HP:0500139,Hypoprolinemia,0.9030,f
HP:0002904,Hyperbilirubinemia,HP:0500140,Decreased circulating hydroxyproline concentration,0.8030,f
HP:0002904,Hyperbilirubinemia,HP:0500141,Hypophenylalaninemia,0.8843,f
HP:0002904,Hyperbilirubinemia,HP:0500142,Hypolysinemia,0.9054,f
HP:0002904,Hyperbilirubinemia,HP:0500143,Hypoleucinemia,0.9141,f
HP:0002904,Hyperbilirubinemia,HP:0500144,Hypoisoleucinemia,0.9133,f
HP:0002904,Hyperbilirubinemia,HP:0500145,Hypohistidinemia,0.9023,f
HP:0002904,Hyperbilirubinemia,HP:0500147,Hypoglutaminemia,0.9139,f
HP:0002904,Hyperbilirubinemia,HP:0500150,Hypoglutamatemia,0.9068,f
HP:0002904,Hyperbilirubinemia,HP:0500152,Hypocystinemia,0.9266,f
HP:0002904,Hyperbilirubinemia,HP:0500154,Hypoalaninemia,0.9050,f
HP:0002904,Hyperbilirubinemia,HP:0500157,Hypoasparaginemia,0.9150,f
HP:0002904,Hyperbilirubinemia,HP:0500162,Decreased circulating carnosine concentration,0.8081,f
HP:0002904,Hyperbilirubinemia,HP:0500163,Hypoornithinemia,0.9104,f
HP:0002904,Hyperbilirubinemia,HP:0500182,Hypotaurinemia,0.9224,f
HP:0002905,Hyperphosphatemia,HP:0001882,Leukopenia,0.8632,f
HP:0002905,Hyperphosphatemia,HP:0001888,Lymphopenia,0.8608,f
HP:0002905,Hyperphosphatemia,HP:0001913,Granulocytopenia,0.8380,f
HP:0002905,Hyperphosphatemia,HP:0001943,Hypoglycemia,0.8801,f
HP:0002905,Hyperphosphatemia,HP:0001988,Recurrent hypoglycemia,0.8612,f
HP:0002905,Hyperphosphatemia,HP:0002148,Hypophosphatemia,0.9674,t
HP:0002905,Hyperphosphatemia,HP:0002720,Decreased circulating IgA concentration,0.7442,f
HP:0002905,Hyperphosphatemia,HP:0002850,Decreased circulating total IgM,0.7590,f
HP:0002905,Hyperphosphatemia,HP:0002900,Hypokalemia,0.8747,f
HP:0002905,Hyperphosphatemia,HP:0002901,Hypocalcemia,0.8905,f
HP:0002905,Hyperphosphatemia,HP:0002902,Hyponatremia,0.9026,f
HP:0002905,Hyperphosphatemia,HP:0002917,Hypomagnesemia,0.8729,f
HP:0002905,Hyperphosphatemia,HP:0002920,Decreased circulating ACTH concentration,0.7516,f
HP:0002905,Hyperphosphatemia,HP:0003073,Hypoalbuminemia,0.8803,f
HP:0002905,Hyperphosphatemia,HP:0003075,Hypoproteinemia,0.8806,f
HP:0002905,Hyperphosphatemia,HP:0003113,Hypochloremia,0.8316,f
HP:0002905,Hyperphosphatemia,HP:0003146,Hypocholesterolemia,0.8850,f
HP:0002905,Hyperphosphatemia,HP:0003233,Decreased HDL cholesterol concentration,0.8338,f
HP:0002905,Hyperphosphatemia,HP:0003234,Decreased circulating carnitine concentration,0.7904,f
HP:0002905,Hyperphosphatemia,HP:0003292,Decreased serum leptin,0.8060,f
HP:0002905,Hyperphosphatemia,HP:0003351,Decreased circulating renin concentration,0.7794,f
HP:0002905,Hyperphosphatemia,HP:0003537,Hypouricemia,0.8932,f
HP:0002905,Hyperphosphatemia,HP:0003563,Decreased LDL cholesterol concentration,0.8097,f
HP:0002905,Hyperphosphatemia,HP:0003572,Low plasma citrulline,0.8548,f
HP:0002905,Hyperphosphatemia,HP:0003658,Hypomethioninemia,0.8822,f
HP:0002905,Hyperphosphatemia,HP:0004313,Decreased circulating antibody concentration,0.7637,f
HP:0002905,Hyperphosphatemia,HP:0004315,Decreased circulating IgG concentration,0.7458,f
HP:0002905,Hyperphosphatemia,HP:0004319,Decreased circulating aldosterone concentration,0.8081,f
HP:0002905,Hyperphosphatemia,HP:0005479,Decreased circulating IgE concentration,0.7343,f
HP:0002905,Hyperphosphatemia,HP:0005510,Transient erythroblastopenia,0.8492,f
HP:0002905,Hyperphosphatemia,HP:0005961,Hypoargininemia,0.8893,f
HP:0002905,Hyperphosphatemia,HP:0008163,Decreased circulating cortisol level,0.8153,f
HP:0002905,Hyperphosphatemia,HP:0010837,Decreased circulating ceruloplasmin concentration,0.8050,f
HP:0002905,Hyperphosphatemia,HP:0010981,Hypolipoproteinemia,0.8795,f
HP:0002905,Hyperphosphatemia,HP:0011967,Decreased circulating copper concentration,0.7525,f
HP:0002905,Hyperphosphatemia,HP:0012052,Low serum calcitriol,0.8475,f
HP:0002905,Hyperphosphatemia,HP:0012053,Decreased circulating calcifediol concentration,0.7775,f
HP:0002905,Hyperphosphatemia,HP:0012101,Decreased serum creatinine,0.8030,f
HP:0002905,Hyperphosphatemia,HP:0012153,Hypotriglyceridemia,0.8897,f
HP:0002905,Hyperphosphatemia,HP:0012277,Hypoglycinemia,0.8971,f
HP:0002905,Hyperphosphatemia,HP:0012279,Hyposerinemia,0.9025,f
HP:0002905,Hyperphosphatemia,HP:0012417,Hypocapnia,0.8074,f
HP:0002905,Hyperphosphatemia,HP:0012418,Hypoxemia,0.8143,f
HP:0002905,Hyperphosphatemia,HP:0020222,Hypohomocysteinemia,0.8643,f
HP:0002905,Hyperphosphatemia,HP:0030339,Decreased circulating gonadotropin concentration,0.7927,f
HP:0002905,Hyperphosphatemia,HP:0030344,Decreased circulating luteinizing hormone level,0.7971,f
HP:0002905,Hyperphosphatemia,HP:0030349,Decreased circulating androgen concentration,0.7851,f
HP:0002905,Hyperphosphatemia,HP:0030689,Decreased glucagon level,0.7841,f
HP:0002905,Hyperphosphatemia,HP:0030985,Decreased serum bile acid concentration,0.8208,f
HP:0002905,Hyperphosphatemia,HP:0031242,Decreased circulating chylomicron concentration,0.7842,f
HP:0002905,Hyperphosphatemia,HP:0031243,Decreased VLDL cholesterol concentration,0.8075,f
HP:0002905,Hyperphosphatemia,HP:0031794,Decreased circulating glycerol level,0.7971,f
HP:0002905,Hyperphosphatemia,HP:0031891,Decreased eosinophil count,0.8208,f
HP:0002905,Hyperphosphatemia,HP:0031969,Reduced blood urea nitrogen,0.7967,f
HP:0002905,Hyperphosphatemia,HP:0032098,Hypomanganesemia,0.8674,f
HP:0002905,Hyperphosphatemia,HP:0032210,Decreased circulating free T3,0.7659,f
HP:0002905,Hyperphosphatemia,HP:0032363,Decreased circulating corticosterone level,0.7946,f
HP:0002905,Hyperphosphatemia,HP:0033445,Reduced circulating acylcarnitine concentration,0.8057,f
HP:0002905,Hyperphosphatemia,HP:0033480,Hypobilirubinemia,0.8885,f
HP:0002905,Hyperphosphatemia,HP:0034203,Decreased iduronate sulfatase level,0.7853,f
HP:0002905,Hyperphosphatemia,HP:0034292,Reduced circulating creatine concentration,0.8080,f
HP:0002905,Hyperphosphatemia,HP:0034441,Decreased circulating aspartic acid concentration,0.7941,f
HP:0002905,Hyperphosphatemia,HP:0034869,Reduced erythrocyte free porphyrin concentration,0.8051,f
HP:0002905,Hyperphosphatemia,HP:0034870,Reduced circulating urocanic acid concentration,0.7901,f
HP:0002905,Hyperphosphatemia,HP:0034935,Decreased circulating 7-dehydrocholesterol concentration,0.8135,f
HP:0002905,Hyperphosphatemia,HP:0034938,Decreased circulating sialic acid concentration,0.7982,f
HP:0002905,Hyperphosphatemia,HP:0040171,Decreased serum testosterone concentration,0.7984,f
HP:0002905,Hyperphosphatemia,HP:0040216,Hypoinsulinemia,0.9005,f
HP:0002905,Hyperphosphatemia,HP:0045014,Hypolipidemia,0.8824,f
HP:0002905,Hyperphosphatemia,HP:0100493,Hypoammonemia,0.8739,f
HP:0002905,Hyperphosphatemia,HP:0100507,Reduced blood folate concentration,0.7971,f
HP:0002905,Hyperphosphatemia,HP:0410179,Decreased glucose-6-phosphate dehydrogenase level in blood,0.8352,f
HP:0002905,Hyperphosphatemia,HP:0410245,Decreased circulating IgD concentration,0.7611,f
HP:0002905,Hyperphosphatemia,HP:0410289,Hypoamylasemia,0.8815,f
HP:0002905,Hyperphosphatemia,HP:0410343,Decreased circulating heparan sulfate level,0.7921,f
HP:0002905,Hyperphosphatemia,HP:0430073,Decreased circulating beta-carotene concentration,0.7798,f
HP:0002905,Hyperphosphatemia,HP:0500132,Hypovalinemia,0.8932,f
HP:0002905,Hyperphosphatemia,HP:0500133,Hypotyrosinemia,0.9223,f
HP:0002905,Hyperphosphatemia,HP:0500135,Hypotryptophanemia,0.8717,f
HP:0002905,Hyperphosphatemia,HP:0500136,Hypothreoninemia,0.8991,f
HP:0002905,Hyperphosphatemia,HP:0500139,Hypoprolinemia,0.8985,f
HP:0002905,Hyperphosphatemia,HP:0500140,Decreased circulating hydroxyproline concentration,0.7952,f
HP:0002905,Hyperphosphatemia,HP:0500141,Hypophenylalaninemia,0.8856,f
HP:0002905,Hyperphosphatemia,HP:0500142,Hypolysinemia,0.8994,f
HP:0002905,Hyperphosphatemia,HP:0500143,Hypoleucinemia,0.8815,f
HP:0002905,Hyperphosphatemia,HP:0500144,Hypoisoleucinemia,0.8867,f
HP:0002905,Hyperphosphatemia,HP:0500145,Hypohistidinemia,0.8918,f
HP:0002905,Hyperphosphatemia,HP:0500147,Hypoglutaminemia,0.8940,f
HP:0002905,Hyperphosphatemia,HP:0500150,Hypoglutamatemia,0.8700,f
HP:0002905,Hyperphosphatemia,HP:0500152,Hypocystinemia,0.9086,f
HP:0002905,Hyperphosphatemia,HP:0500154,Hypoalaninemia,0.8911,f
HP:0002905,Hyperphosphatemia,HP:0500157,Hypoasparaginemia,0.8803,f
HP:0002905,Hyperphosphatemia,HP:0500162,Decreased circulating carnosine concentration,0.7824,f
HP:0002905,Hyperphosphatemia,HP:0500163,Hypoornithinemia,0.8868,f
HP:0002905,Hyperphosphatemia,HP:0500182,Hypotaurinemia,0.9016,f
HP:0002912,Methylmalonic acidemia,HP:0001882,Leukopenia,0.8783,f
HP:0002912,Methylmalonic acidemia,HP:0001888,Lymphopenia,0.8663,f
HP:0002912,Methylmalonic acidemia,HP:0001913,Granulocytopenia,0.8618,f
HP:0002912,Methylmalonic acidemia,HP:0001943,Hypoglycemia,0.8803,f
HP:0002912,Methylmalonic acidemia,HP:0001988,Recurrent hypoglycemia,0.8727,f
HP:0002912,Methylmalonic acidemia,HP:0002148,Hypophosphatemia,0.8909,f
HP:0002912,Methylmalonic acidemia,HP:0002720,Decreased circulating IgA concentration,0.8094,f
HP:0002912,Methylmalonic acidemia,HP:0002850,Decreased circulating total IgM,0.8132,f
HP:0002912,Methylmalonic acidemia,HP:0002900,Hypokalemia,0.8988,f
HP:0002912,Methylmalonic acidemia,HP:0002901,Hypocalcemia,0.8995,f
HP:0002912,Methylmalonic acidemia,HP:0002902,Hyponatremia,0.9168,f
HP:0002912,Methylmalonic acidemia,HP:0002917,Hypomagnesemia,0.8743,f
HP:0002912,Methylmalonic acidemia,HP:0002920,Decreased circulating ACTH concentration,0.8032,f
HP:0002912,Methylmalonic acidemia,HP:0003073,Hypoalbuminemia,0.8867,f
HP:0002912,Methylmalonic acidemia,HP:0003075,Hypoproteinemia,0.8749,f
HP:0002912,Methylmalonic acidemia,HP:0003113,Hypochloremia,0.8511,f
HP:0002912,Methylmalonic acidemia,HP:0003146,Hypocholesterolemia,0.8804,f
HP:0002912,Methylmalonic acidemia,HP:0003233,Decreased HDL cholesterol concentration,0.8746,f
HP:0002912,Methylmalonic acidemia,HP:0003234,Decreased circulating carnitine concentration,0.8482,f
HP:0002912,Methylmalonic acidemia,HP:0003292,Decreased serum leptin,0.8371,f
HP:0002912,Methylmalonic acidemia,HP:0003351,Decreased circulating renin concentration,0.8190,f
HP:0002912,Methylmalonic acidemia,HP:0003537,Hypouricemia,0.8902,f
HP:0002912,Methylmalonic acidemia,HP:0003563,Decreased LDL cholesterol concentration,0.8620,f
HP:0002912,Methylmalonic acidemia,HP:0003572,Low plasma citrulline,0.8904,f
HP:0002912,Methylmalonic acidemia,HP:0003658,Hypomethioninemia,0.9001,f
HP:0002912,Methylmalonic acidemia,HP:0004313,Decreased circulating antibody concentration,0.8132,f
HP:0002912,Methylmalonic acidemia,HP:0004315,Decreased circulating IgG concentration,0.8057,f
HP:0002912,Methylmalonic acidemia,HP:0004319,Decreased circulating aldosterone concentration,0.8644,f
HP:0002912,Methylmalonic acidemia,HP:0005479,Decreased circulating IgE concentration,0.7962,f
HP:0002912,Methylmalonic acidemia,HP:0005510,Transient erythroblastopenia,0.8567,f
HP:0002912,Methylmalonic acidemia,HP:0005961,Hypoargininemia,0.9117,f
HP:0002912,Methylmalonic acidemia,HP:0008163,Decreased circulating cortisol level,0.8621,f
HP:0002912,Methylmalonic acidemia,HP:0010837,Decreased circulating ceruloplasmin concentration,0.8264,f
HP:0002912,Methylmalonic acidemia,HP:0010981,Hypolipoproteinemia,0.8737,f
HP:0002912,Methylmalonic acidemia,HP:0011967,Decreased circulating copper concentration,0.8101,f
HP:0002912,Methylmalonic acidemia,HP:0012052,Low serum calcitriol,0.8744,f
HP:0002912,Methylmalonic acidemia,HP:0012053,Decreased circulating calcifediol concentration,0.8553,f
HP:0002912,Methylmalonic acidemia,HP:0012101,Decreased serum creatinine,0.8436,f
HP:0002912,Methylmalonic acidemia,HP:0012153,Hypotriglyceridemia,0.8841,f
HP:0002912,Methylmalonic acidemia,HP:0012277,Hypoglycinemia,0.9066,f
HP:0002912,Methylmalonic acidemia,HP:0012279,Hyposerinemia,0.8801,f
HP:0002912,Methylmalonic acidemia,HP:0012417,Hypocapnia,0.8330,f
HP:0002912,Methylmalonic acidemia,HP:0012418,Hypoxemia,0.8458,f
HP:0002912,Methylmalonic acidemia,HP:0020222,Hypohomocysteinemia,0.8844,f
HP:0002912,Methylmalonic acidemia,HP:0030339,Decreased circulating gonadotropin concentration,0.8226,f
HP:0002912,Methylmalonic acidemia,HP:0030344,Decreased circulating luteinizing hormone level,0.8473,f
HP:0002912,Methylmalonic acidemia,HP:0030349,Decreased circulating androgen concentration,0.8279,f
HP:0002912,Methylmalonic acidemia,HP:0030689,Decreased glucagon level,0.8355,f
HP:0002912,Methylmalonic acidemia,HP:0030985,Decreased serum bile acid concentration,0.8873,f
HP:0002912,Methylmalonic acidemia,HP:0031242,Decreased circulating chylomicron concentration,0.8515,f
HP:0002912,Methylmalonic acidemia,HP:0031243,Decreased VLDL cholesterol concentration,0.8592,f
HP:0002912,Methylmalonic acidemia,HP:0031794,Decreased circulating glycerol level,0.8399,f
HP:0002912,Methylmalonic acidemia,HP:0031891,Decreased eosinophil count,0.8426,f
HP:0002912,Methylmalonic acidemia,HP:0031969,Reduced blood urea nitrogen,0.8522,f
HP:0002912,Methylmalonic acidemia,HP:0032098,Hypomanganesemia,0.9159,f
HP:0002912,Methylmalonic acidemia,HP:0032210,Decreased circulating free T3,0.8205,f
HP:0002912,Methylmalonic acidemia,HP:0032363,Decreased circulating corticosterone level,0.8619,f
HP:0002912,Methylmalonic acidemia,HP:0033445,Reduced circulating acylcarnitine concentration,0.8756,f
HP:0002912,Methylmalonic acidemia,HP:0033480,Hypobilirubinemia,0.8891,f
HP:0002912,Methylmalonic acidemia,HP:0034203,Decreased iduronate sulfatase level,0.8772,f
HP:0002912,Methylmalonic acidemia,HP:0034292,Reduced circulating creatine concentration,0.8520,f
HP:0002912,Methylmalonic acidemia,HP:0034441,Decreased circulating aspartic acid concentration,0.8373,f
HP:0002912,Methylmalonic acidemia,HP:0034869,Reduced erythrocyte free porphyrin concentration,0.8466,f
HP:0002912,Methylmalonic acidemia,HP:0034870,Reduced circulating urocanic acid concentration,0.8752,f
HP:0002912,Methylmalonic acidemia,HP:0034935,Decreased circulating 7-dehydrocholesterol concentration,0.8900,f
HP:0002912,Methylmalonic acidemia,HP:0034938,Decreased circulating sialic acid concentration,0.8612,f
HP:0002912,Methylmalonic acidemia,HP:0040171,Decreased serum testosterone concentration,0.8583,f
HP:0002912,Methylmalonic acidemia,HP:0040216,Hypoinsulinemia,0.9139,f
HP:0002912,Methylmalonic acidemia,HP:0045014,Hypolipidemia,0.8930,f
HP:0002912,Methylmalonic acidemia,HP:0100493,Hypoammonemia,0.9054,f
HP:0002912,Methylmalonic acidemia,HP:0100507,Reduced blood folate concentration,0.8736,f
HP:0002912,Methylmalonic acidemia,HP:0410179,Decreased glucose-6-phosphate dehydrogenase level in blood,0.8677,f
HP:0002912,Methylmalonic acidemia,HP:0410245,Decreased circulating IgD concentration,0.8002,f
HP:0002912,Methylmalonic acidemia,HP:0410289,Hypoamylasemia,0.9024,f
HP:0002912,Methylmalonic acidemia,HP:0410343,Decreased circulating heparan sulfate level,0.8440,f
HP:0002912,Methylmalonic acidemia,HP:0430073,Decreased circulating beta-carotene concentration,0.8587,f
HP:0002912,Methylmalonic acidemia,HP:0500132,Hypovalinemia,0.8956,f
HP:0002912,Methylmalonic acidemia,HP:0500133,Hypotyrosinemia,0.8883,f
HP:0002912,Methylmalonic acidemia,HP:0500135,Hypotryptophanemia,0.8543,f
HP:0002912,Methylmalonic acidemia,HP:0500136,Hypothreoninemia,0.9056,f
HP:0002912,Methylmalonic acidemia,HP:0500139,Hypoprolinemia,0.8882,f
HP:0002912,Methylmalonic acidemia,HP:0500140,Decreased circulating hydroxyproline concentration,0.8488,f
HP:0002912,Methylmalonic acidemia,HP:0500141,Hypophenylalaninemia,0.8904,f
HP:0002912,Methylmalonic acidemia,HP:0500142,Hypolysinemia,0.9057,f
HP:0002912,Methylmalonic acidemia,HP:0500143,Hypoleucinemia,0.8955,f
HP:0002912,Methylmalonic acidemia,HP:0500144,Hypoisoleucinemia,0.9009,f
HP:0002912,Methylmalonic acidemia,HP:0500145,Hypohistidinemia,0.8891,f
HP:0002912,Methylmalonic acidemia,HP:0500147,Hypoglutaminemia,0.9065,f
HP:0002912,Methylmalonic acidemia,HP:0500150,Hypoglutamatemia,0.8907,f
HP:0002912,Methylmalonic acidemia,HP:0500152,Hypocystinemia,0.9017,f
HP:0002912,Methylmalonic acidemia,HP:0500154,Hypoalaninemia,0.9023,f
HP:0002912,Methylmalonic acidemia,HP:0500157,Hypoasparaginemia,0.8918,f
HP:0002912,Methylmalonic acidemia,HP:0500162,Decreased circulating carnosine concentration,0.8409,f
HP:0002912,Methylmalonic acidemia,HP:0500163,Hypoornithinemia,0.9012,f
HP:0002912,Methylmalonic acidemia,HP:0500182,Hypotaurinemia,0.8974,f
HP:0002913,Myoglobinuria,HP:0003127,Hypocalciuria,0.8489,f
