hpo_id1,hpo_term1,hpo_id2,hpo_term2,inverse_verified_by_llm_openai,inverse_verified_by_llm_aws,inverse_verified_by_llm_deepseek,inverse_verified_by_llm_together,inverse_verified_by_llm_google,inverse_verified_by_llm_xai
HP:0007603,freckles in sun-exposed areas,HP:0005590,spotty hypopigmentation,no,no,no,no,no,yes
HP:0007603,freckles in sun-exposed areas,HP:0007554,confetti hypopigmentation pattern of lower leg skin,no,no,no,no,no,yes
HP:0007603,freckles in sun-exposed areas,HP:0001053,hypopigmented skin patches,yes,no,no,no,no,yes
HP:0007603,freckles in sun-exposed areas,HP:0030679,ash-leaf spot,no,no,no,no,no,yes
HP:0007603,freckles in sun-exposed areas,HP:0007443,partial albinism,yes,no,no,no,no,no
HP:0007603,freckles in sun-exposed areas,HP:0009719,hypomelanotic macule,yes,no,no,no,no,yes
HP:0007603,freckles in sun-exposed areas,HP:0005593,"macular hypopigmented whorls, streaks, and patches",no,no,no,no,no,yes
HP:0007603,freckles in sun-exposed areas,HP:0007544,piebald skin depigmentation,no,no,no,no,no,yes
HP:0007603,freckles in sun-exposed areas,HP:0007535,hypopigmented streaks,no,no,no,no,no,yes
HP:0007603,freckles in sun-exposed areas,HP:0012320,absent pigmentation of the limbs,no,no,no,no,no,yes
HP:0007603,freckles in sun-exposed areas,HP:0001010,hypopigmentation of the skin,yes,no,no,no,no,yes
HP:0007603,freckles in sun-exposed areas,HP:0007581,"mediosternal, longitudinal streak of hypopigmentation",yes,no,no,no,no,yes
HP:6000010,linear hyperpigmentation along blaschko's lines,HP:0007526,hypopigmented skin patches on arms,no,no,no,no,no,yes
HP:6000010,linear hyperpigmentation along blaschko's lines,HP:0200098,absent skin pigmentation,no,no,no,no,no,yes
HP:6000010,linear hyperpigmentation along blaschko's lines,HP:0005590,spotty hypopigmentation,no,no,no,no,no,yes
HP:6000010,linear hyperpigmentation along blaschko's lines,HP:0007554,confetti hypopigmentation pattern of lower leg skin,no,no,yes,no,no,yes
HP:6000010,linear hyperpigmentation along blaschko's lines,HP:0001053,hypopigmented skin patches,no,no,no,no,no,yes
HP:6000010,linear hyperpigmentation along blaschko's lines,HP:0030679,ash-leaf spot,no,no,no,no,no,yes
HP:6000010,linear hyperpigmentation along blaschko's lines,HP:0007443,partial albinism,yes,no,no,no,no,yes
HP:6000010,linear hyperpigmentation along blaschko's lines,HP:0009719,hypomelanotic macule,no,no,no,no,no,yes
HP:6000010,linear hyperpigmentation along blaschko's lines,HP:0040007,absent pigmentation of chest,no,no,no,no,no,yes
HP:6000010,linear hyperpigmentation along blaschko's lines,HP:0005593,"macular hypopigmented whorls, streaks, and patches",yes,no,yes,yes,yes,yes
HP:6000010,linear hyperpigmentation along blaschko's lines,HP:0007544,piebald skin depigmentation,yes,no,no,no,no,yes
HP:6000010,linear hyperpigmentation along blaschko's lines,HP:0001022,albinism,yes,no,no,no,no,yes
HP:6000010,linear hyperpigmentation along blaschko's lines,HP:0007535,hypopigmented streaks,yes,no,yes,yes,no,yes
HP:6000010,linear hyperpigmentation along blaschko's lines,HP:0012319,absent pigmentation of the abdomen,no,no,no,no,no,yes
HP:6000010,linear hyperpigmentation along blaschko's lines,HP:0012320,absent pigmentation of the limbs,no,no,no,no,no,yes
HP:6000010,linear hyperpigmentation along blaschko's lines,HP:0001010,hypopigmentation of the skin,no,no,no,no,no,yes
HP:6000010,linear hyperpigmentation along blaschko's lines,HP:0007513,generalized hypopigmentation,no,no,no,no,no,yes
HP:6000010,linear hyperpigmentation along blaschko's lines,HP:0007581,"mediosternal, longitudinal streak of hypopigmentation",yes,no,no,yes,no,yes
HP:6000010,linear hyperpigmentation along blaschko's lines,HP:0007542,absent pigmentation of the ventral chest,no,no,no,no,no,yes
HP:0025272,melasma,HP:0007526,hypopigmented skin patches on arms,yes,no,no,no,no,yes
HP:0025272,melasma,HP:0200098,absent skin pigmentation,no,no,no,no,no,yes
HP:0025272,melasma,HP:0005590,spotty hypopigmentation,yes,no,no,no,yes,yes
HP:0025272,melasma,HP:0009123,mixed hypo- and hyperpigmentation of the skin,no,no,no,yes,no,no
HP:0025272,melasma,HP:0007554,confetti hypopigmentation pattern of lower leg skin,no,no,no,no,no,yes
HP:0025272,melasma,HP:0007509,patchy hypo- and hyperpigmentation,no,no,no,no,yes,no
HP:0025272,melasma,HP:0001053,hypopigmented skin patches,yes,no,no,yes,no,yes
HP:0025272,melasma,HP:0030679,ash-leaf spot,no,no,no,no,no,yes
HP:0025272,melasma,HP:0007443,partial albinism,yes,no,no,no,no,yes
HP:0025272,melasma,HP:0009719,hypomelanotic macule,yes,no,no,no,yes,yes
HP:0025272,melasma,HP:0040007,absent pigmentation of chest,yes,no,no,no,no,yes
HP:0025272,melasma,HP:0005593,"macular hypopigmented whorls, streaks, and patches",yes,no,no,no,no,yes
HP:0025272,melasma,HP:0007544,piebald skin depigmentation,yes,no,no,no,no,yes
HP:0025272,melasma,HP:0001022,albinism,yes,yes,no,no,no,yes
HP:0025272,melasma,HP:0007535,hypopigmented streaks,yes,no,no,no,no,yes
HP:0025272,melasma,HP:0012319,absent pigmentation of the abdomen,yes,no,no,no,no,yes
HP:0025272,melasma,HP:0012320,absent pigmentation of the limbs,yes,no,no,no,no,yes
HP:0025272,melasma,HP:0001010,hypopigmentation of the skin,yes,no,no,no,no,yes
HP:0025272,melasma,HP:0007513,generalized hypopigmentation,yes,no,no,no,yes,yes
HP:0025272,melasma,HP:0007581,"mediosternal, longitudinal streak of hypopigmentation",yes,no,no,no,no,yes
HP:0025272,melasma,HP:0007542,absent pigmentation of the ventral chest,no,no,no,no,no,yes
HP:0007450,increased groin pigmentation with raindrop depigmentation,HP:0005590,spotty hypopigmentation,yes,no,no,no,no,no
HP:0007450,increased groin pigmentation with raindrop depigmentation,HP:0001053,hypopigmented skin patches,yes,no,no,yes,no,no
HP:0007450,increased groin pigmentation with raindrop depigmentation,HP:0007443,partial albinism,no,no,no,yes,no,no
HP:0007450,increased groin pigmentation with raindrop depigmentation,HP:0009719,hypomelanotic macule,yes,no,no,yes,no,no
HP:0007450,increased groin pigmentation with raindrop depigmentation,HP:0001022,albinism,yes,no,no,no,no,no
HP:0007450,increased groin pigmentation with raindrop depigmentation,HP:0001010,hypopigmentation of the skin,yes,no,no,yes,no,no
HP:0007450,increased groin pigmentation with raindrop depigmentation,HP:0007402,areas of hypopigmentation and hyperpigmentation that do not follow blaschko lines,no,no,no,yes,no,no
HP:0007402,areas of hypopigmentation and hyperpigmentation that do not follow blaschko lines,HP:0007443,partial albinism,no,yes,no,no,no,no
HP:0007402,areas of hypopigmentation and hyperpigmentation that do not follow blaschko lines,HP:0009719,hypomelanotic macule,no,yes,no,no,no,no
HP:0007402,areas of hypopigmentation and hyperpigmentation that do not follow blaschko lines,HP:0007544,piebald skin depigmentation,no,yes,no,no,no,no
HP:0007599,generalized reticulate brown pigmentation,HP:0007526,hypopigmented skin patches on arms,yes,no,no,no,no,yes
HP:0007599,generalized reticulate brown pigmentation,HP:0200098,absent skin pigmentation,no,no,no,no,yes,yes
HP:0007599,generalized reticulate brown pigmentation,HP:0005590,spotty hypopigmentation,yes,no,no,no,yes,yes
HP:0007599,generalized reticulate brown pigmentation,HP:0009123,mixed hypo- and hyperpigmentation of the skin,no,no,yes,yes,no,no
HP:0007599,generalized reticulate brown pigmentation,HP:0007554,confetti hypopigmentation pattern of lower leg skin,yes,no,no,no,no,yes
HP:0007599,generalized reticulate brown pigmentation,HP:0007509,patchy hypo- and hyperpigmentation,no,no,yes,no,no,no
HP:0007599,generalized reticulate brown pigmentation,HP:0001053,hypopigmented skin patches,yes,no,no,no,yes,yes
HP:0007599,generalized reticulate brown pigmentation,HP:0030679,ash-leaf spot,no,no,no,no,no,yes
HP:0007599,generalized reticulate brown pigmentation,HP:0007443,partial albinism,yes,no,no,yes,yes,yes
HP:0007599,generalized reticulate brown pigmentation,HP:0009719,hypomelanotic macule,yes,no,no,no,no,yes
HP:0007599,generalized reticulate brown pigmentation,HP:0040007,absent pigmentation of chest,yes,no,no,no,no,no
HP:0007599,generalized reticulate brown pigmentation,HP:0005593,"macular hypopigmented whorls, streaks, and patches",yes,no,no,no,yes,yes
HP:0007599,generalized reticulate brown pigmentation,HP:0007544,piebald skin depigmentation,yes,no,no,no,yes,yes
HP:0007599,generalized reticulate brown pigmentation,HP:0001022,albinism,yes,no,no,no,yes,yes
HP:0007599,generalized reticulate brown pigmentation,HP:0007535,hypopigmented streaks,yes,no,no,no,no,yes
HP:0007599,generalized reticulate brown pigmentation,HP:0012319,absent pigmentation of the abdomen,yes,no,no,no,no,no
HP:0007599,generalized reticulate brown pigmentation,HP:0001010,hypopigmentation of the skin,yes,no,no,no,yes,yes
HP:0007599,generalized reticulate brown pigmentation,HP:0007513,generalized hypopigmentation,yes,no,no,no,yes,yes
HP:0007599,generalized reticulate brown pigmentation,HP:0007581,"mediosternal, longitudinal streak of hypopigmentation",yes,no,no,no,no,yes
HP:0007406,hyperpigmentation of eyelids,HP:0007526,hypopigmented skin patches on arms,no,no,no,no,no,yes
HP:0007406,hyperpigmentation of eyelids,HP:0200098,absent skin pigmentation,yes,no,no,no,no,yes
HP:0007406,hyperpigmentation of eyelids,HP:0005590,spotty hypopigmentation,no,no,no,no,no,yes
HP:0007406,hyperpigmentation of eyelids,HP:0007554,confetti hypopigmentation pattern of lower leg skin,no,no,no,no,no,yes
HP:0007406,hyperpigmentation of eyelids,HP:0001053,hypopigmented skin patches,yes,no,no,no,no,yes
HP:0007406,hyperpigmentation of eyelids,HP:0030679,ash-leaf spot,no,no,no,no,no,yes
HP:0007406,hyperpigmentation of eyelids,HP:0007443,partial albinism,yes,no,no,no,no,yes
HP:0007406,hyperpigmentation of eyelids,HP:0009719,hypomelanotic macule,yes,no,no,no,no,yes
HP:0007406,hyperpigmentation of eyelids,HP:0040007,absent pigmentation of chest,yes,no,no,no,no,no
HP:0007406,hyperpigmentation of eyelids,HP:0005593,"macular hypopigmented whorls, streaks, and patches",yes,no,no,no,no,yes
HP:0007406,hyperpigmentation of eyelids,HP:0007544,piebald skin depigmentation,yes,no,no,no,no,yes
HP:0007406,hyperpigmentation of eyelids,HP:0001022,albinism,yes,yes,no,no,no,yes
HP:0007406,hyperpigmentation of eyelids,HP:0007535,hypopigmented streaks,yes,no,no,no,no,yes
HP:0007406,hyperpigmentation of eyelids,HP:0012319,absent pigmentation of the abdomen,yes,no,no,no,no,no
HP:0007406,hyperpigmentation of eyelids,HP:0012320,absent pigmentation of the limbs,yes,no,no,no,no,no
HP:0007406,hyperpigmentation of eyelids,HP:0001010,hypopigmentation of the skin,no,no,yes,no,no,no
HP:0007406,hyperpigmentation of eyelids,HP:0007581,"mediosternal, longitudinal streak of hypopigmentation",yes,no,no,no,no,no
HP:0007406,hyperpigmentation of eyelids,HP:0007542,absent pigmentation of the ventral chest,yes,no,no,no,no,no
HP:0007456,progressive reticulate hyperpigmentation,HP:0007526,hypopigmented skin patches on arms,yes,no,no,no,no,yes
HP:0007456,progressive reticulate hyperpigmentation,HP:0200098,absent skin pigmentation,yes,no,no,no,no,yes
HP:0007456,progressive reticulate hyperpigmentation,HP:0005590,spotty hypopigmentation,yes,no,no,no,yes,yes
HP:0007456,progressive reticulate hyperpigmentation,HP:0007554,confetti hypopigmentation pattern of lower leg skin,yes,no,no,no,no,yes
HP:0007456,progressive reticulate hyperpigmentation,HP:0001053,hypopigmented skin patches,yes,no,no,no,yes,yes
HP:0007456,progressive reticulate hyperpigmentation,HP:0030679,ash-leaf spot,no,no,no,no,no,yes
HP:0007456,progressive reticulate hyperpigmentation,HP:0007443,partial albinism,yes,no,no,no,yes,yes
HP:0007456,progressive reticulate hyperpigmentation,HP:0009719,hypomelanotic macule,yes,no,no,no,yes,yes
HP:0007456,progressive reticulate hyperpigmentation,HP:0040007,absent pigmentation of chest,yes,no,no,no,no,yes
HP:0007456,progressive reticulate hyperpigmentation,HP:0005593,"macular hypopigmented whorls, streaks, and patches",yes,no,no,no,yes,yes
HP:0007456,progressive reticulate hyperpigmentation,HP:0007544,piebald skin depigmentation,yes,no,yes,no,no,yes
HP:0007456,progressive reticulate hyperpigmentation,HP:0001022,albinism,yes,no,no,no,yes,yes
HP:0007456,progressive reticulate hyperpigmentation,HP:0007535,hypopigmented streaks,yes,no,no,no,no,yes
HP:0007456,progressive reticulate hyperpigmentation,HP:0012319,absent pigmentation of the abdomen,yes,no,no,no,no,yes
HP:0007456,progressive reticulate hyperpigmentation,HP:0012320,absent pigmentation of the limbs,yes,no,no,no,no,yes
HP:0007456,progressive reticulate hyperpigmentation,HP:0001010,hypopigmentation of the skin,yes,no,no,no,yes,yes
HP:0007456,progressive reticulate hyperpigmentation,HP:0007513,generalized hypopigmentation,yes,no,no,yes,yes,yes
HP:0007456,progressive reticulate hyperpigmentation,HP:0007581,"mediosternal, longitudinal streak of hypopigmentation",yes,no,no,no,no,yes
HP:0007456,progressive reticulate hyperpigmentation,HP:0007542,absent pigmentation of the ventral chest,yes,no,no,no,no,yes
HP:0100047,enlarged epiphyses of the 2nd toe,HP:0100119,small epiphysis of the middle phalanx of the 2nd toe,yes,no,no,yes,no,no
HP:0100114,enlarged epiphysis of the middle phalanx of the 2nd toe,HP:0100052,small epiphyses of the 2nd toe,no,yes,no,no,yes,yes
HP:0100103,enlarged epiphysis of the distal phalanx of the 2nd toe,HP:0100052,small epiphyses of the 2nd toe,no,yes,no,no,yes,yes
HP:0004532,sacral hypertrichosis,HP:0004528,generalized hypotrichosis,yes,no,no,no,no,no
HP:0004532,sacral hypertrichosis,HP:0002296,progressive hypotrichosis,yes,no,no,no,no,yes
HP:0004540,"congenital, generalized hypertrichosis",HP:0002215,sparse axillary hair,yes,no,no,no,no,no
HP:0004540,"congenital, generalized hypertrichosis",HP:0007464,sparse facial hair,yes,yes,no,no,no,yes
HP:0004540,"congenital, generalized hypertrichosis",HP:0002296,progressive hypotrichosis,yes,yes,no,yes,no,yes
HP:0004540,"congenital, generalized hypertrichosis",HP:0002231,sparse body hair,yes,yes,no,yes,yes,yes
HP:0004540,"congenital, generalized hypertrichosis",HP:0000653,sparse eyelashes,yes,no,no,no,no,no
HP:0004540,"congenital, generalized hypertrichosis",HP:0002209,sparse scalp hair,yes,no,no,yes,no,yes
HP:0004540,"congenital, generalized hypertrichosis",HP:0002225,sparse pubic hair,yes,no,no,no,no,no
HP:0004540,"congenital, generalized hypertrichosis",HP:0004768,sparse anterior scalp hair,yes,no,no,no,no,yes
HP:0004540,"congenital, generalized hypertrichosis",HP:0008070,sparse hair,yes,yes,no,yes,yes,yes
HP:0002219,facial hypertrichosis,HP:0004528,generalized hypotrichosis,yes,yes,no,no,no,yes
HP:0002219,facial hypertrichosis,HP:0007464,sparse facial hair,yes,yes,no,yes,yes,yes
HP:0002219,facial hypertrichosis,HP:0002296,progressive hypotrichosis,yes,yes,no,yes,no,yes
HP:0002219,facial hypertrichosis,HP:0008070,sparse hair,yes,yes,no,no,no,yes
HP:0004554,generalized hypertrichosis,HP:0002215,sparse axillary hair,no,no,no,no,no,yes
HP:0004554,generalized hypertrichosis,HP:0007464,sparse facial hair,yes,no,no,no,no,yes
HP:0004554,generalized hypertrichosis,HP:0002296,progressive hypotrichosis,yes,yes,no,yes,no,yes
HP:0004554,generalized hypertrichosis,HP:0002231,sparse body hair,yes,yes,no,yes,yes,yes
HP:0004554,generalized hypertrichosis,HP:0002209,sparse scalp hair,yes,no,no,no,no,no
HP:0004554,generalized hypertrichosis,HP:0004768,sparse anterior scalp hair,yes,no,no,no,no,no
HP:0004554,generalized hypertrichosis,HP:0008070,sparse hair,yes,yes,no,yes,yes,yes
HP:0011914,thoracic hypertrichosis,HP:0004528,generalized hypotrichosis,yes,no,no,no,no,no
HP:0011914,thoracic hypertrichosis,HP:0002296,progressive hypotrichosis,yes,no,no,no,no,yes
HP:0011914,thoracic hypertrichosis,HP:0002231,sparse body hair,yes,yes,no,no,no,yes
HP:0011914,thoracic hypertrichosis,HP:0008070,sparse hair,no,yes,no,no,no,yes
HP:0004535,anterior cervical hypertrichosis,HP:0004528,generalized hypotrichosis,yes,no,no,no,no,yes
HP:0004535,anterior cervical hypertrichosis,HP:0002296,progressive hypotrichosis,no,no,no,no,no,yes
HP:0004535,anterior cervical hypertrichosis,HP:0002231,sparse body hair,no,no,no,no,no,yes
HP:0004535,anterior cervical hypertrichosis,HP:0004768,sparse anterior scalp hair,yes,no,no,no,no,no
HP:0004535,anterior cervical hypertrichosis,HP:0008070,sparse hair,yes,no,no,no,no,yes
HP:0011913,lumbar hypertrichosis,HP:0004528,generalized hypotrichosis,no,yes,no,no,no,no
HP:0011913,lumbar hypertrichosis,HP:0002296,progressive hypotrichosis,no,no,no,no,no,yes
HP:0011913,lumbar hypertrichosis,HP:0002231,sparse body hair,yes,yes,no,no,no,no
HP:0011913,lumbar hypertrichosis,HP:0008070,sparse hair,no,yes,no,no,no,no
HP:0032313,frontotemporal hypertrichosis,HP:0004528,generalized hypotrichosis,yes,yes,no,no,no,yes
HP:0032313,frontotemporal hypertrichosis,HP:0007464,sparse facial hair,yes,no,no,yes,no,yes
HP:0032313,frontotemporal hypertrichosis,HP:0002296,progressive hypotrichosis,yes,yes,no,yes,no,yes
HP:0032313,frontotemporal hypertrichosis,HP:0002231,sparse body hair,yes,no,no,no,no,yes
HP:0032313,frontotemporal hypertrichosis,HP:0002209,sparse scalp hair,yes,no,no,yes,no,no
HP:0032313,frontotemporal hypertrichosis,HP:0004768,sparse anterior scalp hair,yes,no,no,yes,yes,yes
HP:0032313,frontotemporal hypertrichosis,HP:0008070,sparse hair,yes,yes,no,yes,no,yes
HP:0000998,hypertrichosis,HP:0002215,sparse axillary hair,yes,no,no,yes,no,yes
HP:0000998,hypertrichosis,HP:0040050,sparse upper eyelashes,yes,no,no,yes,no,no
HP:0000998,hypertrichosis,HP:0007464,sparse facial hair,yes,no,no,yes,no,yes
HP:0000998,hypertrichosis,HP:0002296,progressive hypotrichosis,yes,yes,no,yes,no,yes
HP:0000998,hypertrichosis,HP:0002231,sparse body hair,yes,no,no,yes,yes,yes
HP:0000998,hypertrichosis,HP:0000653,sparse eyelashes,yes,no,no,yes,no,no
HP:0000998,hypertrichosis,HP:0002209,sparse scalp hair,yes,no,no,yes,no,yes
HP:0000998,hypertrichosis,HP:0007776,sparse lower eyelashes,yes,no,no,yes,no,no
HP:0000998,hypertrichosis,HP:0002225,sparse pubic hair,yes,no,no,no,no,yes
HP:0000998,hypertrichosis,HP:0004768,sparse anterior scalp hair,yes,no,no,no,no,no
HP:0000664,synophrys,HP:0007464,sparse facial hair,yes,no,no,no,no,no
HP:0000664,synophrys,HP:0008070,sparse hair,yes,no,no,no,no,no
HP:0004780,elbow hypertrichosis,HP:0002296,progressive hypotrichosis,no,no,no,no,no,yes
HP:0004780,elbow hypertrichosis,HP:0008070,sparse hair,no,yes,no,no,no,no
HP:0033846,spinal hypomyelination,HP:0012754,cns hypermyelination,yes,yes,no,yes,yes,yes
HP:0100293,hypertrophied muscle fibers,HP:0011807,type 1 muscle fiber atrophy,yes,no,yes,no,no,yes
HP:0100293,hypertrophied muscle fibers,HP:0003554,type 2 muscle fiber atrophy,yes,no,yes,no,no,yes
HP:0033413,upper extremity hypokinesia,HP:0002487,hyperkinetic movements,yes,no,no,no,yes,yes
HP:0033414,lower extremity hypokinesia,HP:0002487,hyperkinetic movements,yes,no,no,no,no,yes
HP:0030050,narcolepsy,HP:0031356,terminal insomnia,yes,no,no,no,yes,yes
HP:0030050,narcolepsy,HP:0031355,maintenance insomnia,no,no,no,yes,no,yes
HP:0030050,narcolepsy,HP:0031354,sleep onset insomnia,yes,no,no,yes,no,yes
HP:0011219,short face,HP:0100729,large face,yes,no,no,yes,yes,no
HP:0000275,narrow face,HP:0000276,long face,no,no,no,yes,no,no
HP:0000275,narrow face,HP:0100729,large face,yes,yes,no,yes,no,no
HP:0000274,small face,HP:0000283,broad face,no,no,no,yes,yes,yes
HP:0000274,small face,HP:0000276,long face,yes,no,no,no,yes,no
HP:0002043,esophageal stricture,HP:6000589,esophageal dilation,yes,no,yes,yes,yes,yes
HP:0001640,cardiomegaly,HP:0010954,hypoplastic right heart,yes,no,no,no,no,no
HP:0001640,cardiomegaly,HP:0004383,hypoplastic left heart,yes,no,no,no,no,yes
HP:0010231,enlarged epiphyses of the phalanges of the hand,HP:0009672,small epiphysis of the proximal phalanx of the thumb,no,no,no,no,no,yes
HP:0009413,enlarged epiphyses of the 3rd finger,HP:0010265,small epiphyses of the middle phalanges of the hand,yes,no,no,no,no,no
HP:0010271,enlarged epiphyses of the proximal phalanges of the hand,HP:0009672,small epiphysis of the proximal phalanx of the thumb,no,no,yes,no,no,no
HP:0010260,enlarged epiphyses of the middle phalanges of the hand,HP:0009222,small epiphysis of the middle phalanx of the 4th finger,no,no,no,no,no,yes
HP:0010260,enlarged epiphyses of the middle phalanges of the hand,HP:0009211,small epiphysis of the middle phalanx of the 5th finger,no,no,no,no,no,yes
HP:0005817,postaxial polysyndactyly of foot,HP:0200054,foot monodactyly,yes,no,no,yes,yes,yes
HP:0005817,postaxial polysyndactyly of foot,HP:0001849,foot oligodactyly,yes,no,no,yes,yes,yes
HP:0001830,postaxial foot polydactyly,HP:0200054,foot monodactyly,yes,no,no,yes,yes,yes
HP:0006321,multiple non-erupting secondary teeth,HP:0006288,advanced eruption of teeth,yes,no,no,yes,no,yes
HP:0006321,multiple non-erupting secondary teeth,HP:0000695,natal tooth,no,no,no,no,no,yes
HP:0006321,multiple non-erupting secondary teeth,HP:0006337,premature eruption of permanent teeth,yes,no,yes,yes,no,yes
HP:0000680,delayed eruption of primary teeth,HP:0006288,advanced eruption of teeth,yes,yes,no,yes,yes,yes
HP:0000680,delayed eruption of primary teeth,HP:0000695,natal tooth,yes,no,no,yes,no,yes
HP:0000696,delayed eruption of permanent teeth,HP:0000695,natal tooth,yes,no,no,yes,no,yes
HP:0000684,delayed eruption of teeth,HP:0000695,natal tooth,yes,no,no,yes,no,yes
HP:0006291,marked delay in eruption of permanent teeth,HP:0006288,advanced eruption of teeth,yes,yes,no,yes,yes,yes
HP:0006291,marked delay in eruption of permanent teeth,HP:0000695,natal tooth,yes,no,no,yes,no,yes
HP:0001593,maxillary lateral incisor microdontia,HP:0011081,incisor macrodontia,yes,yes,no,no,no,yes
HP:0001593,maxillary lateral incisor microdontia,HP:0001572,macrodontia,yes,no,no,no,no,yes
HP:0006311,generalized microdontia,HP:0011081,incisor macrodontia,yes,no,no,no,no,no
HP:0006311,generalized microdontia,HP:0000675,macrodontia of permanent maxillary central incisor,yes,no,no,no,no,yes
HP:0000691,microdontia,HP:0011081,incisor macrodontia,yes,yes,no,yes,no,yes
HP:0200141,"small, conical teeth",HP:0011081,incisor macrodontia,yes,no,no,yes,no,yes
HP:0200141,"small, conical teeth",HP:0000675,macrodontia of permanent maxillary central incisor,yes,no,no,yes,no,no
HP:0200141,"small, conical teeth",HP:0001572,macrodontia,yes,yes,no,yes,yes,no
HP:0006347,microdontia of primary teeth,HP:0011081,incisor macrodontia,yes,no,no,no,no,yes
HP:0006347,microdontia of primary teeth,HP:0000675,macrodontia of permanent maxillary central incisor,yes,no,no,yes,no,no
HP:0006347,microdontia of primary teeth,HP:0001572,macrodontia,yes,yes,yes,yes,no,yes
HP:0031028,lactescent serum,HP:0031243,decreased vldl cholesterol concentration,no,no,no,yes,no,yes
HP:0008279,transient hyperlipidemia,HP:0031243,decreased vldl cholesterol concentration,yes,no,no,no,no,no
HP:0002155,hypertriglyceridemia,HP:0031243,decreased vldl cholesterol concentration,yes,no,no,yes,no,yes
HP:0032151,episodic eosinophilia,HP:0031891,decreased eosinophil count,yes,no,no,yes,yes,yes
HP:0041063,chronic decreased circulating igg2,HP:0032299,increased circulating igg2 level,yes,yes,no,yes,yes,yes
HP:0041062,transient decreased circulating igg2,HP:0032299,increased circulating igg2 level,yes,no,no,yes,yes,yes
HP:0041066,chronic partially decreased circulating igg2,HP:0032299,increased circulating igg2 level,yes,no,no,yes,yes,yes
HP:0025306,acute emergence over minutes,HP:0011010,chronic,yes,no,no,yes,yes,yes
HP:0025307,acute emergence over hours,HP:0011010,chronic,yes,no,no,yes,no,yes
HP:0025308,acute emergence over days,HP:0011010,chronic,yes,no,no,yes,no,yes
HP:0008282,unconjugated hyperbilirubinemia,HP:0033480,hypobilirubinemia,yes,no,yes,yes,yes,yes
HP:0002908,conjugated hyperbilirubinemia,HP:0033480,hypobilirubinemia,yes,no,no,yes,yes,no
HP:0003265,neonatal hyperbilirubinemia,HP:0033480,hypobilirubinemia,yes,no,yes,yes,yes,yes
HP:0008176,neonatal unconjugated hyperbilirubinemia,HP:0033480,hypobilirubinemia,yes,no,no,yes,yes,yes
HP:0003573,increased total bilirubin,HP:0033480,hypobilirubinemia,yes,no,no,yes,yes,yes
HP:0001847,long hallux,HP:0010111,short phalanx of hallux,no,no,no,yes,no,no
HP:0001847,long hallux,HP:0010103,short distal phalanx of hallux,yes,no,no,yes,no,no
HP:0004474,persistent open anterior fontanelle,HP:0005458,premature closure of fontanelles,yes,yes,no,yes,yes,yes
HP:0004474,persistent open anterior fontanelle,HP:0005494,premature posterior fontanelle closure,yes,no,no,no,no,no
HP:0100154,small epiphysis of the middle phalanx of the 3rd toe,HP:0003013,bulging epiphyses,no,no,no,no,no,yes
HP:0100154,small epiphysis of the middle phalanx of the 3rd toe,HP:0100058,enlarged epiphyses of the 3rd toe,no,no,no,yes,yes,no
HP:0100154,small epiphysis of the middle phalanx of the 3rd toe,HP:0010165,enlarged epiphyses of the toes,no,no,no,yes,no,yes
HP:0100074,small epiphyses of the 4th toe,HP:0100183,enlarged epiphysis of the middle phalanx of the 4th toe,no,no,no,yes,no,yes
HP:0100074,small epiphyses of the 4th toe,HP:0010580,enlarged epiphyses,no,no,no,yes,no,no
HP:0100074,small epiphyses of the 4th toe,HP:0100194,enlarged epiphysis of the proximal phalanx of the 4th toe,no,no,no,yes,no,yes
HP:0100074,small epiphyses of the 4th toe,HP:0100125,enlarged epiphysis of the proximal phalanx of the 2nd toe,no,no,no,yes,no,no
HP:0100074,small epiphyses of the 4th toe,HP:0003013,bulging epiphyses,no,no,no,no,no,yes
HP:0100074,small epiphyses of the 4th toe,HP:0100103,enlarged epiphysis of the distal phalanx of the 2nd toe,no,no,no,yes,no,no
HP:0100074,small epiphyses of the 4th toe,HP:0010165,enlarged epiphyses of the toes,no,no,no,yes,no,yes
HP:0100074,small epiphyses of the 4th toe,HP:0100114,enlarged epiphysis of the middle phalanx of the 2nd toe,no,no,no,yes,no,no
HP:0100074,small epiphyses of the 4th toe,HP:0006134,enlarged metacarpal epiphyses,no,no,no,yes,no,no
HP:0100165,small epiphysis of the proximal phalanx of the 3rd toe,HP:0010580,enlarged epiphyses,no,no,no,no,no,yes
HP:0100165,small epiphysis of the proximal phalanx of the 3rd toe,HP:0003013,bulging epiphyses,no,no,no,no,no,yes
HP:0100165,small epiphysis of the proximal phalanx of the 3rd toe,HP:0010165,enlarged epiphyses of the toes,no,no,no,no,no,yes
HP:0100199,small epiphysis of the proximal phalanx of the 4th toe,HP:0010116,enlarged epiphyses of the hallux,no,no,no,no,no,yes
HP:0100199,small epiphysis of the proximal phalanx of the 4th toe,HP:0003013,bulging epiphyses,no,no,no,no,no,yes
HP:0100199,small epiphysis of the proximal phalanx of the 4th toe,HP:0010165,enlarged epiphyses of the toes,no,no,no,no,no,yes
HP:0100210,small epiphysis of the distal phalanx of the 5th toe,HP:0010231,enlarged epiphyses of the phalanges of the hand,no,no,no,no,no,yes
HP:0100210,small epiphysis of the distal phalanx of the 5th toe,HP:0010580,enlarged epiphyses,no,no,no,yes,no,no
