hpo_id1,hpo_term1,hpo_id2,hpo_term2,inverse_verified_by_llm_openai,inverse_verified_by_llm_deepseek,inverse_verified_by_llm_claude,inverse_verified_by_llm_llama,inverse_verified_by_llm_gemini,inverse_verified_by_llm_grok,inverse_verified_by_llm_qwen
HP:0009338,Enlarged epiphysis of the distal phalanx of the 3rd finger,HP:0010236,Small epiphyses of the phalanges of the hand,no,no,no,yes,no,no,no
HP:0009338,Enlarged epiphysis of the distal phalanx of the 3rd finger,HP:0010254,Small epiphyses of the distal phalanges of the hand,no,no,no,yes,no,yes,yes
HP:0009343,Small epiphysis of the distal phalanx of the 3rd finger,HP:0009413,Enlarged epiphyses of the 3rd finger,no,no,yes,yes,yes,yes,yes
HP:0009343,Small epiphysis of the distal phalanx of the 3rd finger,HP:0009689,Enlarged thumb epiphysis,no,no,no,no,no,no,yes
HP:0009343,Small epiphysis of the distal phalanx of the 3rd finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,yes,no
HP:0009343,Small epiphysis of the distal phalanx of the 3rd finger,HP:0010249,Enlarged epiphyses of the distal phalanges of the hand,no,no,no,yes,no,no,no
HP:0009349,Enlarged epiphysis of the proximal phalanx of the 3rd finger,HP:0009418,Small epiphyses of the 3rd finger,no,no,yes,yes,yes,yes,yes
HP:0009349,Enlarged epiphysis of the proximal phalanx of the 3rd finger,HP:0010236,Small epiphyses of the phalanges of the hand,no,no,no,no,no,yes,yes
HP:0009349,Enlarged epiphysis of the proximal phalanx of the 3rd finger,HP:0010276,Small epiphyses of the proximal phalanges of the hand,no,no,no,yes,no,yes,yes
HP:0009354,Small epiphysis of the proximal phalanx of the 3rd finger,HP:0009413,Enlarged epiphyses of the 3rd finger,yes,no,yes,yes,yes,yes,yes
HP:0009354,Small epiphysis of the proximal phalanx of the 3rd finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,yes,yes
HP:0009354,Small epiphysis of the proximal phalanx of the 3rd finger,HP:0010249,Enlarged epiphyses of the distal phalanges of the hand,no,no,no,no,no,no,yes
HP:0009354,Small epiphysis of the proximal phalanx of the 3rd finger,HP:0010271,Enlarged epiphyses of the proximal phalanges of the hand,no,no,no,yes,no,no,no
HP:0009381,Short finger,HP:0100807,Long fingers,yes,no,yes,yes,yes,yes,yes
HP:0009385,Enlarged epiphyses of the 5th finger,HP:0009390,Small epiphyses of the 5th finger,yes,yes,yes,yes,yes,yes,no
HP:0009385,Enlarged epiphyses of the 5th finger,HP:0010236,Small epiphyses of the phalanges of the hand,no,no,no,yes,no,yes,yes
HP:0009385,Enlarged epiphyses of the 5th finger,HP:0010254,Small epiphyses of the distal phalanges of the hand,no,no,no,no,no,yes,no
HP:0009385,Enlarged epiphyses of the 5th finger,HP:0010276,Small epiphyses of the proximal phalanges of the hand,no,no,no,no,no,no,yes
HP:0009390,Small epiphyses of the 5th finger,HP:0009413,Enlarged epiphyses of the 3rd finger,no,no,no,yes,no,no,yes
HP:0009390,Small epiphyses of the 5th finger,HP:0009491,Enlarged epiphyses of the 2nd finger,no,no,no,yes,no,no,no
HP:0009390,Small epiphyses of the 5th finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,yes,yes
HP:0009390,Small epiphyses of the 5th finger,HP:0010249,Enlarged epiphyses of the distal phalanges of the hand,no,no,no,no,no,yes,yes
HP:0009390,Small epiphyses of the 5th finger,HP:0010260,Enlarged epiphyses of the middle phalanges of the hand,no,no,no,no,no,no,yes
HP:0009390,Small epiphyses of the 5th finger,HP:0010271,Enlarged epiphyses of the proximal phalanges of the hand,no,no,no,no,no,yes,no
HP:0009396,Enlarged epiphyses of the 4th finger,HP:0009401,Small epiphyses of the 4th finger,yes,yes,yes,yes,yes,yes,no
HP:0009396,Enlarged epiphyses of the 4th finger,HP:0009683,Small epiphysis of the distal phalanx of the thumb,no,no,no,no,no,no,yes
HP:0009396,Enlarged epiphyses of the 4th finger,HP:0010236,Small epiphyses of the phalanges of the hand,no,no,no,yes,no,yes,no
HP:0009396,Enlarged epiphyses of the 4th finger,HP:0010254,Small epiphyses of the distal phalanges of the hand,no,no,no,no,no,yes,yes
HP:0009396,Enlarged epiphyses of the 4th finger,HP:0010265,Small epiphyses of the middle phalanges of the hand,no,no,no,no,no,yes,no
HP:0009396,Enlarged epiphyses of the 4th finger,HP:0010276,Small epiphyses of the proximal phalanges of the hand,no,no,no,no,no,yes,yes
HP:0009401,Small epiphyses of the 4th finger,HP:0009413,Enlarged epiphyses of the 3rd finger,no,no,no,yes,no,no,no
HP:0009401,Small epiphyses of the 4th finger,HP:0009527,Enlarged epiphysis of the proximal phalanx of the 2nd finger,no,no,no,yes,no,no,yes
HP:0009401,Small epiphyses of the 4th finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,yes,no
HP:0009401,Small epiphyses of the 4th finger,HP:0010249,Enlarged epiphyses of the distal phalanges of the hand,no,no,no,no,no,yes,no
HP:0009401,Small epiphyses of the 4th finger,HP:0010260,Enlarged epiphyses of the middle phalanges of the hand,no,no,no,yes,no,yes,yes
HP:0009401,Small epiphyses of the 4th finger,HP:0010271,Enlarged epiphyses of the proximal phalanges of the hand,no,no,no,no,no,yes,yes
HP:0009413,Enlarged epiphyses of the 3rd finger,HP:0010236,Small epiphyses of the phalanges of the hand,no,no,no,yes,no,yes,no
HP:0009413,Enlarged epiphyses of the 3rd finger,HP:0010254,Small epiphyses of the distal phalanges of the hand,no,no,no,no,no,yes,yes
HP:0009413,Enlarged epiphyses of the 3rd finger,HP:0010265,Small epiphyses of the middle phalanges of the hand,no,no,no,no,no,no,yes
HP:0009413,Enlarged epiphyses of the 3rd finger,HP:0010276,Small epiphyses of the proximal phalanges of the hand,no,no,no,no,no,yes,yes
HP:0009418,Small epiphyses of the 3rd finger,HP:0009505,Enlarged epiphysis of the distal phalanx of the 2nd finger,no,no,no,no,no,no,yes
HP:0009418,Small epiphyses of the 3rd finger,HP:0009667,Enlarged epiphysis of the proximal phalanx of the thumb,no,no,no,no,no,no,yes
HP:0009418,Small epiphyses of the 3rd finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,yes,yes
HP:0009418,Small epiphyses of the 3rd finger,HP:0010249,Enlarged epiphyses of the distal phalanges of the hand,no,no,no,yes,no,yes,no
HP:0009418,Small epiphyses of the 3rd finger,HP:0010260,Enlarged epiphyses of the middle phalanges of the hand,no,no,no,yes,no,yes,no
HP:0009418,Small epiphyses of the 3rd finger,HP:0010271,Enlarged epiphyses of the proximal phalanges of the hand,no,no,no,no,no,yes,yes
HP:0009491,Enlarged epiphyses of the 2nd finger,HP:0009496,Small epiphyses of the 2nd finger,yes,yes,yes,yes,yes,yes,no
HP:0009491,Enlarged epiphyses of the 2nd finger,HP:0009510,Small epiphysis of the distal phalanx of the 2nd finger,no,yes,no,no,no,no,yes
HP:0009491,Enlarged epiphyses of the 2nd finger,HP:0009521,Small epiphysis of the middle phalanx of the 2nd finger,yes,no,no,yes,yes,no,yes
HP:0009491,Enlarged epiphyses of the 2nd finger,HP:0009532,Small epiphysis of the proximal phalanx of the 2nd finger,no,yes,yes,no,no,no,yes
HP:0009491,Enlarged epiphyses of the 2nd finger,HP:0010236,Small epiphyses of the phalanges of the hand,no,no,no,yes,no,yes,no
HP:0009491,Enlarged epiphyses of the 2nd finger,HP:0010254,Small epiphyses of the distal phalanges of the hand,no,no,no,no,no,yes,yes
HP:0009491,Enlarged epiphyses of the 2nd finger,HP:0010265,Small epiphyses of the middle phalanges of the hand,no,no,no,no,no,yes,no
HP:0009491,Enlarged epiphyses of the 2nd finger,HP:0010276,Small epiphyses of the proximal phalanges of the hand,no,no,no,no,no,yes,no
HP:0009496,Small epiphyses of the 2nd finger,HP:0009505,Enlarged epiphysis of the distal phalanx of the 2nd finger,no,no,yes,yes,no,yes,no
HP:0009496,Small epiphyses of the 2nd finger,HP:0009516,Enlarged epiphysis of the middle phalanx of the 2nd finger,yes,no,no,yes,yes,no,yes
HP:0009496,Small epiphyses of the 2nd finger,HP:0009527,Enlarged epiphysis of the proximal phalanx of the 2nd finger,no,no,no,yes,no,yes,no
HP:0009496,Small epiphyses of the 2nd finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,yes,yes
HP:0009496,Small epiphyses of the 2nd finger,HP:0010249,Enlarged epiphyses of the distal phalanges of the hand,no,no,no,no,no,yes,no
HP:0009496,Small epiphyses of the 2nd finger,HP:0010260,Enlarged epiphyses of the middle phalanges of the hand,no,no,no,yes,no,yes,no
HP:0009496,Small epiphyses of the 2nd finger,HP:0010271,Enlarged epiphyses of the proximal phalanges of the hand,no,no,no,no,no,yes,yes
HP:0009505,Enlarged epiphysis of the distal phalanx of the 2nd finger,HP:0010236,Small epiphyses of the phalanges of the hand,no,no,no,no,no,yes,yes
HP:0009505,Enlarged epiphysis of the distal phalanx of the 2nd finger,HP:0010254,Small epiphyses of the distal phalanges of the hand,no,no,no,yes,no,yes,yes
HP:0009510,Small epiphysis of the distal phalanx of the 2nd finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,yes,no
HP:0009510,Small epiphysis of the distal phalanx of the 2nd finger,HP:0010249,Enlarged epiphyses of the distal phalanges of the hand,no,no,no,yes,no,yes,yes
HP:0009510,Small epiphysis of the distal phalanx of the 2nd finger,HP:0010271,Enlarged epiphyses of the proximal phalanges of the hand,no,no,no,no,no,no,yes
HP:0009516,Enlarged epiphysis of the middle phalanx of the 2nd finger,HP:0010236,Small epiphyses of the phalanges of the hand,no,no,no,no,no,yes,yes
HP:0009516,Enlarged epiphysis of the middle phalanx of the 2nd finger,HP:0010265,Small epiphyses of the middle phalanges of the hand,no,no,no,no,no,yes,yes
HP:0009521,Small epiphysis of the middle phalanx of the 2nd finger,HP:0009667,Enlarged epiphysis of the proximal phalanx of the thumb,no,no,no,no,no,no,yes
HP:0009521,Small epiphysis of the middle phalanx of the 2nd finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,yes,no,no,yes,no,yes,yes
HP:0009521,Small epiphysis of the middle phalanx of the 2nd finger,HP:0010260,Enlarged epiphyses of the middle phalanges of the hand,no,no,no,yes,yes,yes,yes
HP:0009527,Enlarged epiphysis of the proximal phalanx of the 2nd finger,HP:0009532,Small epiphysis of the proximal phalanx of the 2nd finger,yes,yes,yes,yes,yes,yes,no
HP:0009527,Enlarged epiphysis of the proximal phalanx of the 2nd finger,HP:0009683,Small epiphysis of the distal phalanx of the thumb,no,no,no,no,no,no,yes
HP:0009527,Enlarged epiphysis of the proximal phalanx of the 2nd finger,HP:0010236,Small epiphyses of the phalanges of the hand,no,no,no,no,no,yes,yes
HP:0009527,Enlarged epiphysis of the proximal phalanx of the 2nd finger,HP:0010276,Small epiphyses of the proximal phalanges of the hand,no,no,no,yes,no,yes,yes
HP:0009532,Small epiphysis of the proximal phalanx of the 2nd finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,yes,yes
HP:0009532,Small epiphysis of the proximal phalanx of the 2nd finger,HP:0010271,Enlarged epiphyses of the proximal phalanges of the hand,no,no,no,yes,no,yes,yes
HP:0009667,Enlarged epiphysis of the proximal phalanx of the thumb,HP:0009694,Small thumb epiphysis,yes,yes,no,yes,yes,yes,yes
HP:0009667,Enlarged epiphysis of the proximal phalanx of the thumb,HP:0010236,Small epiphyses of the phalanges of the hand,no,no,no,no,no,no,yes
HP:0009667,Enlarged epiphysis of the proximal phalanx of the thumb,HP:0010276,Small epiphyses of the proximal phalanges of the hand,no,no,no,no,no,no,yes
HP:0009672,Small epiphysis of the proximal phalanx of the thumb,HP:0009689,Enlarged thumb epiphysis,yes,no,no,yes,yes,yes,yes
HP:0009672,Small epiphysis of the proximal phalanx of the thumb,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,no,yes
HP:0009672,Small epiphysis of the proximal phalanx of the thumb,HP:0010271,Enlarged epiphyses of the proximal phalanges of the hand,no,no,no,yes,yes,yes,yes
HP:0009678,Enlarged epiphysis of the distal phalanx of the thumb,HP:0009683,Small epiphysis of the distal phalanx of the thumb,yes,yes,yes,yes,yes,yes,no
HP:0009678,Enlarged epiphysis of the distal phalanx of the thumb,HP:0009694,Small thumb epiphysis,yes,yes,no,yes,yes,yes,yes
HP:0009678,Enlarged epiphysis of the distal phalanx of the thumb,HP:0010236,Small epiphyses of the phalanges of the hand,no,no,no,no,no,no,yes
HP:0009678,Enlarged epiphysis of the distal phalanx of the thumb,HP:0010254,Small epiphyses of the distal phalanges of the hand,no,no,no,no,no,yes,no
HP:0009683,Small epiphysis of the distal phalanx of the thumb,HP:0009689,Enlarged thumb epiphysis,yes,no,no,yes,yes,yes,yes
HP:0009683,Small epiphysis of the distal phalanx of the thumb,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,no,yes
HP:0009683,Small epiphysis of the distal phalanx of the thumb,HP:0010249,Enlarged epiphyses of the distal phalanges of the hand,no,no,no,yes,no,yes,yes
HP:0009689,Enlarged thumb epiphysis,HP:0010254,Small epiphyses of the distal phalanges of the hand,no,no,no,no,no,no,yes
HP:0009689,Enlarged thumb epiphysis,HP:0010276,Small epiphyses of the proximal phalanges of the hand,no,no,no,no,no,no,yes
HP:0009694,Small thumb epiphysis,HP:0010231,Enlarged epiphyses of the phalanges of the hand,yes,no,no,yes,no,no,yes
HP:0009694,Small thumb epiphysis,HP:0010249,Enlarged epiphyses of the distal phalanges of the hand,yes,no,no,yes,no,yes,yes
HP:0009804,Tooth agenesis,HP:0011069,Supernumerary tooth,yes,yes,no,no,yes,yes,yes
HP:0009882,Short distal phalanx of finger,HP:0012299,Long distal phalanx of finger,yes,yes,yes,yes,yes,yes,no
HP:0009932,Single naris,HP:0009934,Supernumerary naris,yes,no,no,yes,yes,yes,yes
HP:0010018,Enlarged epiphysis of the 1st metacarpal,HP:0010023,Small epiphysis of the 1st metacarpal,yes,yes,yes,yes,yes,yes,no
HP:0010049,Short metacarpal,HP:0010493,Long metacarpals,yes,no,no,yes,yes,yes,yes
HP:0010116,Enlarged epiphyses of the hallux,HP:0010135,Small epiphysis of the proximal phalanx of the hallux,no,yes,no,no,no,no,yes
HP:0010116,Enlarged epiphyses of the hallux,HP:0010146,Small epiphysis of the distal phalanx of the hallux,yes,no,no,no,no,yes,yes
HP:0010116,Enlarged epiphyses of the hallux,HP:0010170,Small epiphyses of the toes,no,no,no,yes,yes,no,no
HP:0010116,Enlarged epiphyses of the hallux,HP:0010585,Small epiphyses,no,no,no,yes,no,no,no
HP:0010116,Enlarged epiphyses of the hallux,HP:0100108,Small epiphysis of the distal phalanx of the 2nd toe,no,no,no,no,no,no,yes
HP:0010121,Small epiphyses of the hallux,HP:0010130,Enlarged epiphysis of the proximal phalanx of the hallux,no,no,no,yes,yes,no,yes
HP:0010121,Small epiphyses of the hallux,HP:0010141,Enlarged epiphysis of the distal phalanx of the hallux,no,no,no,yes,no,yes,no
HP:0010121,Small epiphyses of the hallux,HP:0010165,Enlarged epiphyses of the toes,no,no,yes,yes,no,no,no
HP:0010121,Small epiphyses of the hallux,HP:0010580,Enlarged epiphyses,no,no,no,yes,no,no,yes
HP:0010121,Small epiphyses of the hallux,HP:0100149,Enlarged epiphysis of the middle phalanx of the 3rd toe,no,no,no,no,no,no,yes
HP:0010121,Small epiphyses of the hallux,HP:0100205,Enlarged epiphysis of the distal phalanx of the 5th toe,no,no,no,no,no,no,yes
HP:0010130,Enlarged epiphysis of the proximal phalanx of the hallux,HP:0010170,Small epiphyses of the toes,no,no,no,no,no,yes,no
HP:0010130,Enlarged epiphysis of the proximal phalanx of the hallux,HP:0010585,Small epiphyses,no,no,no,yes,no,no,no
HP:0010130,Enlarged epiphysis of the proximal phalanx of the hallux,HP:0100063,Small epiphyses of the 3rd toe,no,no,no,no,no,no,yes
HP:0010130,Enlarged epiphysis of the proximal phalanx of the hallux,HP:0100130,Small epiphysis of the proximal phalanx of the 2nd toe,no,no,no,no,no,no,yes
HP:0010135,Small epiphysis of the proximal phalanx of the hallux,HP:0010165,Enlarged epiphyses of the toes,no,no,no,no,no,no,yes
HP:0010135,Small epiphysis of the proximal phalanx of the hallux,HP:0010580,Enlarged epiphyses,no,no,no,yes,no,no,yes
HP:0010135,Small epiphysis of the proximal phalanx of the hallux,HP:0100194,Enlarged epiphysis of the proximal phalanx of the 4th toe,no,no,no,no,no,no,yes
HP:0010141,Enlarged epiphysis of the distal phalanx of the hallux,HP:0010146,Small epiphysis of the distal phalanx of the hallux,yes,yes,yes,yes,yes,yes,no
HP:0010141,Enlarged epiphysis of the distal phalanx of the hallux,HP:0010170,Small epiphyses of the toes,no,no,no,no,no,no,yes
HP:0010141,Enlarged epiphysis of the distal phalanx of the hallux,HP:0010585,Small epiphyses,no,no,no,yes,no,no,yes
HP:0010146,Small epiphysis of the distal phalanx of the hallux,HP:0010165,Enlarged epiphyses of the toes,no,no,no,no,no,yes,no
HP:0010146,Small epiphysis of the distal phalanx of the hallux,HP:0010580,Enlarged epiphyses,no,no,no,yes,no,no,yes
HP:0010146,Small epiphysis of the distal phalanx of the hallux,HP:0100080,Enlarged epiphyses of the 5th toe,no,no,no,no,no,no,yes
HP:0010146,Small epiphysis of the distal phalanx of the hallux,HP:0100138,Enlarged epiphysis of the distal phalanx of the 3rd toe,no,no,no,no,no,no,yes
HP:0010146,Small epiphysis of the distal phalanx of the hallux,HP:0100160,Enlarged epiphysis of the proximal phalanx of the 3rd toe,no,no,no,no,no,no,yes
HP:0010152,Enlarged epiphysis of the 1st metatarsal,HP:0010157,Small epiphysis of the 1st metatarsal,yes,yes,yes,yes,yes,yes,no
HP:0010165,Enlarged epiphyses of the toes,HP:0010585,Small epiphyses,yes,yes,no,yes,no,yes,yes
HP:0010165,Enlarged epiphyses of the toes,HP:0100074,Small epiphyses of the 4th toe,no,no,no,no,yes,no,no
HP:0010165,Enlarged epiphyses of the toes,HP:0100085,Small epiphyses of the 5th toe,no,no,no,no,yes,no,no
HP:0010165,Enlarged epiphyses of the toes,HP:0100108,Small epiphysis of the distal phalanx of the 2nd toe,no,no,no,no,no,yes,yes
HP:0010165,Enlarged epiphyses of the toes,HP:0100130,Small epiphysis of the proximal phalanx of the 2nd toe,no,no,no,no,no,no,yes
HP:0010165,Enlarged epiphyses of the toes,HP:0100154,Small epiphysis of the middle phalanx of the 3rd toe,no,no,no,no,yes,no,no
HP:0010165,Enlarged epiphyses of the toes,HP:0100165,Small epiphysis of the proximal phalanx of the 3rd toe,no,no,no,no,no,no,yes
HP:0010165,Enlarged epiphyses of the toes,HP:0100177,Small epiphysis of the distal phalanx of the 4th toe,no,no,no,no,no,no,yes
HP:0010165,Enlarged epiphyses of the toes,HP:0100188,Small epiphysis of the middle phalanx of the 4th toe,no,no,no,no,no,no,yes
HP:0010165,Enlarged epiphyses of the toes,HP:0100199,Small epiphysis of the proximal phalanx of the 4th toe,no,no,no,no,no,no,yes
HP:0010165,Enlarged epiphyses of the toes,HP:0100210,Small epiphysis of the distal phalanx of the 5th toe,no,no,no,no,no,no,yes
HP:0010165,Enlarged epiphyses of the toes,HP:0100221,Small epiphysis of the middle phalanx of the 5th toe,yes,no,no,no,no,no,no
HP:0010165,Enlarged epiphyses of the toes,HP:0100232,Small epiphysis of the proximal phalanx of the 5th toe,no,no,no,no,no,yes,no
HP:0010170,Small epiphyses of the toes,HP:0010580,Enlarged epiphyses,no,no,no,yes,no,yes,yes
HP:0010170,Small epiphyses of the toes,HP:0100047,Enlarged epiphyses of the 2nd toe,yes,no,no,yes,yes,no,yes
HP:0010170,Small epiphyses of the toes,HP:0100058,Enlarged epiphyses of the 3rd toe,yes,no,no,yes,yes,no,yes
HP:0010170,Small epiphyses of the toes,HP:0100069,Enlarged epiphyses of the 4th toe,no,no,no,yes,yes,no,no
HP:0010170,Small epiphyses of the toes,HP:0100080,Enlarged epiphyses of the 5th toe,no,no,no,yes,yes,no,no
HP:0010170,Small epiphyses of the toes,HP:0100103,Enlarged epiphysis of the distal phalanx of the 2nd toe,no,no,no,yes,no,no,no
HP:0010170,Small epiphyses of the toes,HP:0100114,Enlarged epiphysis of the middle phalanx of the 2nd toe,no,no,no,yes,no,no,no
HP:0010170,Small epiphyses of the toes,HP:0100125,Enlarged epiphysis of the proximal phalanx of the 2nd toe,no,no,no,yes,no,yes,no
HP:0010170,Small epiphyses of the toes,HP:0100138,Enlarged epiphysis of the distal phalanx of the 3rd toe,no,no,no,yes,no,no,yes
HP:0010170,Small epiphyses of the toes,HP:0100149,Enlarged epiphysis of the middle phalanx of the 3rd toe,no,no,no,yes,no,no,no
HP:0010170,Small epiphyses of the toes,HP:0100160,Enlarged epiphysis of the proximal phalanx of the 3rd toe,no,no,no,yes,no,no,yes
HP:0010170,Small epiphyses of the toes,HP:0100172,Enlarged epiphysis of the distal phalanx of the 4th toe,no,no,no,yes,no,no,no
HP:0010170,Small epiphyses of the toes,HP:0100183,Enlarged epiphysis of the middle phalanx of the 4th toe,no,no,no,yes,no,no,no
HP:0010170,Small epiphyses of the toes,HP:0100194,Enlarged epiphysis of the proximal phalanx of the 4th toe,no,no,no,yes,no,no,no
HP:0010170,Small epiphyses of the toes,HP:0100205,Enlarged epiphysis of the distal phalanx of the 5th toe,no,no,no,yes,no,yes,yes
HP:0010170,Small epiphyses of the toes,HP:0100216,Enlarged epiphysis of the middle phalanx of the 5th toe,no,no,no,yes,no,yes,no
HP:0010170,Small epiphyses of the toes,HP:0100227,Enlarged epiphysis of the proximal phalanx of the 5th toe,no,no,no,yes,no,no,no
HP:0010231,Enlarged epiphyses of the phalanges of the hand,HP:0010254,Small epiphyses of the distal phalanges of the hand,no,yes,yes,no,yes,yes,yes
HP:0010231,Enlarged epiphyses of the phalanges of the hand,HP:0010265,Small epiphyses of the middle phalanges of the hand,no,yes,yes,yes,yes,no,yes
HP:0010231,Enlarged epiphyses of the phalanges of the hand,HP:0010276,Small epiphyses of the proximal phalanges of the hand,no,yes,yes,no,yes,yes,yes
HP:0010236,Small epiphyses of the phalanges of the hand,HP:0010249,Enlarged epiphyses of the distal phalanges of the hand,no,no,yes,yes,yes,yes,yes
HP:0010236,Small epiphyses of the phalanges of the hand,HP:0010260,Enlarged epiphyses of the middle phalanges of the hand,yes,no,yes,yes,yes,yes,yes
HP:0010236,Small epiphyses of the phalanges of the hand,HP:0010271,Enlarged epiphyses of the proximal phalanges of the hand,no,no,yes,yes,yes,yes,yes
HP:0010249,Enlarged epiphyses of the distal phalanges of the hand,HP:0010254,Small epiphyses of the distal phalanges of the hand,yes,yes,yes,yes,yes,yes,no
HP:0010442,Polydactyly,HP:0012165,Oligodactyly,yes,yes,yes,yes,yes,yes,no
HP:0010473,Porphyrinuria,HP:0034869,Reduced erythrocyte free porphyrin concentration,yes,no,no,yes,yes,no,no
HP:0010580,Enlarged epiphyses,HP:0010585,Small epiphyses,yes,yes,yes,yes,yes,yes,no
HP:0010580,Enlarged epiphyses,HP:0100052,Small epiphyses of the 2nd toe,no,yes,no,no,no,no,no
HP:0010580,Enlarged epiphyses,HP:0100063,Small epiphyses of the 3rd toe,no,yes,no,no,no,no,no
HP:0010580,Enlarged epiphyses,HP:0100074,Small epiphyses of the 4th toe,no,yes,no,no,no,yes,no
HP:0010580,Enlarged epiphyses,HP:0100085,Small epiphyses of the 5th toe,no,yes,no,no,no,no,no
HP:0010580,Enlarged epiphyses,HP:0100108,Small epiphysis of the distal phalanx of the 2nd toe,no,yes,no,no,no,no,yes
HP:0010580,Enlarged epiphyses,HP:0100119,Small epiphysis of the middle phalanx of the 2nd toe,yes,yes,no,no,no,no,yes
HP:0010580,Enlarged epiphyses,HP:0100130,Small epiphysis of the proximal phalanx of the 2nd toe,yes,yes,no,no,no,no,yes
HP:0010580,Enlarged epiphyses,HP:0100143,Small epiphysis of the distal phalanx of the 3rd toe,yes,no,no,no,no,no,yes
HP:0010580,Enlarged epiphyses,HP:0100154,Small epiphysis of the middle phalanx of the 3rd toe,yes,no,no,no,no,yes,yes
HP:0010580,Enlarged epiphyses,HP:0100165,Small epiphysis of the proximal phalanx of the 3rd toe,yes,yes,no,no,no,no,yes
HP:0010580,Enlarged epiphyses,HP:0100177,Small epiphysis of the distal phalanx of the 4th toe,no,no,no,no,no,no,yes
HP:0010580,Enlarged epiphyses,HP:0100188,Small epiphysis of the middle phalanx of the 4th toe,yes,yes,no,no,no,no,yes
HP:0010580,Enlarged epiphyses,HP:0100199,Small epiphysis of the proximal phalanx of the 4th toe,yes,no,no,no,no,yes,yes
HP:0010580,Enlarged epiphyses,HP:0100210,Small epiphysis of the distal phalanx of the 5th toe,no,no,no,no,no,yes,yes
HP:0010580,Enlarged epiphyses,HP:0100221,Small epiphysis of the middle phalanx of the 5th toe,yes,no,no,no,no,no,yes
HP:0010580,Enlarged epiphyses,HP:0100232,Small epiphysis of the proximal phalanx of the 5th toe,no,yes,no,no,no,no,no
HP:0010585,Small epiphyses,HP:0100047,Enlarged epiphyses of the 2nd toe,no,yes,no,yes,no,no,yes
HP:0010585,Small epiphyses,HP:0100058,Enlarged epiphyses of the 3rd toe,no,yes,no,yes,no,no,yes
HP:0010585,Small epiphyses,HP:0100069,Enlarged epiphyses of the 4th toe,no,yes,no,yes,no,no,yes
HP:0010585,Small epiphyses,HP:0100080,Enlarged epiphyses of the 5th toe,no,yes,no,yes,no,no,yes
HP:0010585,Small epiphyses,HP:0100103,Enlarged epiphysis of the distal phalanx of the 2nd toe,no,no,no,yes,no,no,no
HP:0010585,Small epiphyses,HP:0100114,Enlarged epiphysis of the middle phalanx of the 2nd toe,no,no,no,yes,no,no,yes
HP:0010585,Small epiphyses,HP:0100125,Enlarged epiphysis of the proximal phalanx of the 2nd toe,no,no,no,yes,no,no,yes
HP:0010585,Small epiphyses,HP:0100138,Enlarged epiphysis of the distal phalanx of the 3rd toe,no,no,no,yes,no,no,no
HP:0010585,Small epiphyses,HP:0100149,Enlarged epiphysis of the middle phalanx of the 3rd toe,no,no,no,yes,no,no,yes
HP:0010585,Small epiphyses,HP:0100160,Enlarged epiphysis of the proximal phalanx of the 3rd toe,no,no,no,yes,no,no,yes
HP:0010585,Small epiphyses,HP:0100172,Enlarged epiphysis of the distal phalanx of the 4th toe,no,no,no,yes,no,no,yes
HP:0010585,Small epiphyses,HP:0100183,Enlarged epiphysis of the middle phalanx of the 4th toe,no,no,no,yes,no,no,yes
HP:0010585,Small epiphyses,HP:0100194,Enlarged epiphysis of the proximal phalanx of the 4th toe,no,no,no,yes,no,yes,yes
HP:0010585,Small epiphyses,HP:0100205,Enlarged epiphysis of the distal phalanx of the 5th toe,no,no,no,yes,no,no,no
HP:0010585,Small epiphyses,HP:0100216,Enlarged epiphysis of the middle phalanx of the 5th toe,no,no,no,yes,no,no,no
HP:0010585,Small epiphyses,HP:0100227,Enlarged epiphysis of the proximal phalanx of the 5th toe,no,no,no,yes,no,no,no
HP:0010679,Elevated tissue non-specific alkaline phosphatase,HP:0010683,Low tissue non-specific alkaline phosphatase,yes,yes,yes,yes,yes,yes,no
HP:0010682,Elevated placental alkaline phosphatase,HP:0010688,Low placental alkaline phosphatase,yes,yes,yes,yes,yes,yes,no
HP:0010809,Broad uvula,HP:0010811,Narrow uvula,yes,yes,yes,yes,yes,yes,no
HP:0010810,Long uvula,HP:0010812,Short uvula,yes,yes,yes,yes,yes,yes,no
HP:0010839,Increased urinary copper concentration,HP:0011967,Decreased circulating copper concentration,yes,no,no,no,no,no,no
HP:0010906,Hyperhistidinemia,HP:0500145,Hypohistidinemia,yes,yes,yes,yes,yes,yes,no
