id1,id2,logical,text,inherit,term1,term2,inverse_verified_by_llm
HP:0012648,HP:0006572,t,t,t,decreased inflammatory response,subacute progressive viral hepatitis,no
HP:0012648,HP:0005661,t,t,t,decreased inflammatory response,salmonella osteomyelitis,no
HP:0012648,HP:0031236,t,t,t,decreased inflammatory response,predominantly dermal neutrophilic infiltrate,no
HP:0012648,HP:0100281,t,t,t,decreased inflammatory response,chronic colitis,no
HP:0012648,HP:0033699,t,t,t,decreased inflammatory response,polymorphic vesicular eruption,no
HP:0012648,HP:0100633,t,t,t,decreased inflammatory response,esophagitis,no
HP:0012648,HP:0001412,t,t,t,decreased inflammatory response,enteroviral hepatitis,no
HP:0012648,HP:0025610,t,t,t,decreased inflammatory response,posterior blepharitis,no
HP:0012648,HP:0000388,t,t,t,decreased inflammatory response,otitis media,no
HP:0012648,HP:0006562,t,t,t,decreased inflammatory response,viral hepatitis,no
HP:0012648,HP:0001055,t,t,t,decreased inflammatory response,erysipelas,no
HP:0012648,HP:0200124,t,t,t,decreased inflammatory response,chronic hepatitis due to cryptosporidium infection,no
HP:0012648,HP:0005010,t,t,t,decreased inflammatory response,osteomyelitis leading to amputation due to slow healing fractures,no
HP:0012648,HP:0033731,t,t,t,decreased inflammatory response,focal lupus nephritis,no
HP:0012648,HP:0011132,t,t,t,decreased inflammatory response,chronic furunculosis,no
HP:0012648,HP:0200119,t,t,t,decreased inflammatory response,acute hepatitis,no
HP:0012648,HP:0033730,t,t,t,decreased inflammatory response,membranous lupus nephritis,no
HP:0012648,HP:0030151,t,t,t,decreased inflammatory response,cholangitis,no
HP:0012648,HP:0002563,t,t,t,decreased inflammatory response,constrictive pericarditis,no
HP:0012648,HP:0100646,t,t,t,decreased inflammatory response,thyroiditis,no
HP:0012648,HP:4000054,t,t,t,decreased inflammatory response,exanthem,no
HP:0012648,HP:0012784,t,t,t,decreased inflammatory response,perinephritis,no
HP:0012648,HP:0001094,t,t,t,decreased inflammatory response,iridocyclitis,no
HP:0012648,HP:0033697,t,t,t,decreased inflammatory response,vesicular eruption,no
HP:0012648,HP:0032282,t,t,t,decreased inflammatory response,contact dermatitis,no
HP:0012648,HP:0012578,t,t,t,decreased inflammatory response,membranous nephropathy,no
HP:0012648,HP:0000031,t,t,t,decreased inflammatory response,epididymitis,no
HP:0012648,HP:0011952,t,t,t,decreased inflammatory response,acute aspiration pneumonia,no
HP:0012648,HP:0004386,t,t,t,decreased inflammatory response,gastrointestinal inflammation,no
HP:0012648,HP:0001051,t,t,t,decreased inflammatory response,seborrheic dermatitis,no
HP:0012648,HP:0100577,t,t,t,decreased inflammatory response,urinary bladder inflammation,no
HP:0012648,HP:0002840,t,t,t,decreased inflammatory response,lymphadenitis,no
HP:0012648,HP:0033732,t,t,t,decreased inflammatory response,advanced sclerotic lupus nephritis,no
HP:0012648,HP:0012204,t,t,t,decreased inflammatory response,recurrent vulvovaginal candidiasis,no
HP:0012648,HP:0011123,t,t,t,decreased inflammatory response,inflammatory abnormality of the skin,no
HP:0012648,HP:0007626,t,t,t,decreased inflammatory response,mandibular osteomyelitis,no
HP:0012648,HP:0200123,t,t,t,decreased inflammatory response,chronic hepatitis,no
HP:0012648,HP:0000246,t,t,t,decreased inflammatory response,sinusitis,no
HP:0012648,HP:0410151,t,t,t,decreased inflammatory response,eosinophilic infiltration of the esophagus,no
HP:0008665,HP:0040254,t,t,t,clitoral hypertrophy,decreased size of the clitoris,yes
HP:0007074,HP:0001274,f,t,t,thick corpus callosum,agenesis of corpus callosum,no
HP:0007074,HP:0001338,f,t,t,thick corpus callosum,partial agenesis of the corpus callosum,yes
HP:0007074,HP:0007371,f,t,t,thick corpus callosum,corpus callosum atrophy,yes
HP:0007074,HP:0034007,f,t,t,thick corpus callosum,posterior atrophy of corpus callosum,no
HP:0007074,HP:0002079,f,t,t,thick corpus callosum,hypoplasia of the corpus callosum,yes
HP:0007074,HP:0007370,f,t,t,thick corpus callosum,aplasia/hypoplasia of the corpus callosum,yes
HP:0007074,HP:0006849,f,t,t,thick corpus callosum,hypodysplasia of the corpus callosum,yes
HP:0100160,HP:0100154,t,t,t,enlarged epiphysis of the proximal phalanx of the 3rd toe,small epiphysis of the middle phalanx of the 3rd toe,no
HP:0100160,HP:0100143,t,t,t,enlarged epiphysis of the proximal phalanx of the 3rd toe,small epiphysis of the distal phalanx of the 3rd toe,no
HP:0100160,HP:0100063,t,t,t,enlarged epiphysis of the proximal phalanx of the 3rd toe,small epiphyses of the 3rd toe,no
HP:0100138,HP:0100165,t,t,t,enlarged epiphysis of the distal phalanx of the 3rd toe,small epiphysis of the proximal phalanx of the 3rd toe,no
HP:0100138,HP:0100154,t,t,t,enlarged epiphysis of the distal phalanx of the 3rd toe,small epiphysis of the middle phalanx of the 3rd toe,no
HP:0100138,HP:0100063,t,t,t,enlarged epiphysis of the distal phalanx of the 3rd toe,small epiphyses of the 3rd toe,no
HP:0100149,HP:0100165,t,t,t,enlarged epiphysis of the middle phalanx of the 3rd toe,small epiphysis of the proximal phalanx of the 3rd toe,no
HP:0100149,HP:0100143,t,t,t,enlarged epiphysis of the middle phalanx of the 3rd toe,small epiphysis of the distal phalanx of the 3rd toe,no
HP:0100149,HP:0100063,t,t,t,enlarged epiphysis of the middle phalanx of the 3rd toe,small epiphyses of the 3rd toe,no
HP:0100058,HP:0100165,t,t,t,enlarged epiphyses of the 3rd toe,small epiphysis of the proximal phalanx of the 3rd toe,yes
HP:0100058,HP:0100154,t,t,t,enlarged epiphyses of the 3rd toe,small epiphysis of the middle phalanx of the 3rd toe,yes
HP:0100058,HP:0100143,t,t,t,enlarged epiphyses of the 3rd toe,small epiphysis of the distal phalanx of the 3rd toe,yes
HP:0002850,HP:0005508,t,t,t,decreased circulating total igm,monoclonal immunoglobulin m proteinemia,no
HP:0002850,HP:0032332,t,t,t,decreased circulating total igm,oligoclonal elevation of circulating igm,no
HP:0002850,HP:0003459,t,t,t,decreased circulating total igm,polyclonal elevation of igm,yes
HP:0000825,HP:0040216,t,t,t,hyperinsulinemic hypoglycemia,hypoinsulinemia,yes
HP:0008283,HP:0040216,t,t,t,fasting hyperinsulinemia,hypoinsulinemia,yes
HP:0009385,HP:0009211,t,t,t,enlarged epiphyses of the 5th finger,small epiphysis of the middle phalanx of the 5th finger,no
HP:0009206,HP:0009148,t,t,t,enlarged epiphysis of the middle phalanx of the 5th finger,small epiphysis of the distal phalanx of the 5th finger,no
HP:0009147,HP:0009211,t,t,t,enlarged epiphysis of the distal phalanx of the 5th finger,small epiphysis of the middle phalanx of the 5th finger,no
HP:0009158,HP:0009211,t,t,t,enlarged epiphysis of the proximal phalanx of the 5th finger,small epiphysis of the middle phalanx of the 5th finger,no
HP:0009158,HP:0009148,t,t,t,enlarged epiphysis of the proximal phalanx of the 5th finger,small epiphysis of the distal phalanx of the 5th finger,no
HP:0033846,HP:0012754,t,t,t,spinal hypomyelination,cns hypermyelination,yes
HP:0006808,HP:0012754,t,t,t,cerebral hypomyelination,cns hypermyelination,yes
HP:0006134,HP:0100063,t,t,t,enlarged metacarpal epiphyses,small epiphyses of the 3rd toe,no
HP:0006134,HP:0012284,t,t,t,enlarged metacarpal epiphyses,small proximal tibial epiphyses,no
HP:0006134,HP:0010146,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the distal phalanx of the hallux,no
HP:0006134,HP:0100177,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the distal phalanx of the 4th toe,no
HP:0006134,HP:0010265,t,t,t,enlarged metacarpal epiphyses,small epiphyses of the middle phalanges of the hand,no
HP:0006134,HP:0009418,t,t,t,enlarged metacarpal epiphyses,small epiphyses of the 3rd finger,yes
HP:0006134,HP:0009343,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the distal phalanx of the 3rd finger,no
HP:0006134,HP:0100074,t,t,t,enlarged metacarpal epiphyses,small epiphyses of the 4th toe,no
HP:0006134,HP:0009694,t,t,t,enlarged metacarpal epiphyses,small thumb epiphysis,no
HP:0006134,HP:0010135,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the proximal phalanx of the hallux,no
HP:0006134,HP:0010170,t,t,t,enlarged metacarpal epiphyses,small epiphyses of the toes,no
HP:0006134,HP:0100154,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the middle phalanx of the 3rd toe,no
HP:0006134,HP:0009211,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the middle phalanx of the 5th finger,no
HP:0006134,HP:0100052,t,t,t,enlarged metacarpal epiphyses,small epiphyses of the 2nd toe,no
HP:0006134,HP:0009521,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the middle phalanx of the 2nd finger,no
HP:0006134,HP:0009222,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the middle phalanx of the 4th finger,no
HP:0006134,HP:0003844,t,t,t,enlarged metacarpal epiphyses,small epiphyses of the upper limbs,yes
HP:0006134,HP:0010023,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the 1st metacarpal,no
HP:0006134,HP:0003900,t,t,t,enlarged metacarpal epiphyses,small humeral epiphyses,no
HP:0006134,HP:0100165,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the proximal phalanx of the 3rd toe,no
HP:0006134,HP:0100221,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the middle phalanx of the 5th toe,no
HP:0006134,HP:0009401,t,t,t,enlarged metacarpal epiphyses,small epiphyses of the 4th finger,no
HP:0006134,HP:0009194,t,t,t,enlarged metacarpal epiphyses,small epiphyses of the metacarpals,yes
HP:0006134,HP:0009496,t,t,t,enlarged metacarpal epiphyses,small epiphyses of the 2nd finger,yes
HP:0006134,HP:0010254,t,t,t,enlarged metacarpal epiphyses,small epiphyses of the distal phalanges of the hand,no
HP:0006134,HP:0010121,t,t,t,enlarged metacarpal epiphyses,small epiphyses of the hallux,no
HP:0006134,HP:0009532,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the proximal phalanx of the 2nd finger,no
HP:0006134,HP:0100188,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the middle phalanx of the 4th toe,no
HP:0006134,HP:0010276,t,t,t,enlarged metacarpal epiphyses,small epiphyses of the proximal phalanges of the hand,no
HP:0006134,HP:0100232,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the proximal phalanx of the 5th toe,no
HP:0006134,HP:0100143,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the distal phalanx of the 3rd toe,no
HP:0006134,HP:0010585,t,t,t,enlarged metacarpal epiphyses,small epiphyses,no
HP:0006134,HP:0009354,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the proximal phalanx of the 3rd finger,no
HP:0006134,HP:0009258,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the distal phalanx of the 4th finger,no
HP:0006134,HP:0100130,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the proximal phalanx of the 2nd toe,no
HP:0006134,HP:0009672,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the proximal phalanx of the thumb,no
HP:0006134,HP:0009159,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the proximal phalanx of the 5th finger,no
HP:0006134,HP:0009269,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the proximal phalanx of the 4th finger,no
HP:0006134,HP:0100085,t,t,t,enlarged metacarpal epiphyses,small epiphyses of the 5th toe,no
HP:0006134,HP:0010236,t,t,t,enlarged metacarpal epiphyses,small epiphyses of the phalanges of the hand,no
HP:0006134,HP:0100199,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the proximal phalanx of the 4th toe,no
HP:0006134,HP:0100210,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the distal phalanx of the 5th toe,no
HP:0006134,HP:0009510,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the distal phalanx of the 2nd finger,no
HP:0006134,HP:0009148,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the distal phalanx of the 5th finger,no
HP:0006134,HP:0009683,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the distal phalanx of the thumb,no
HP:0006134,HP:0009329,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the middle phalanx of the 3rd finger,no
HP:0006134,HP:0100119,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the middle phalanx of the 2nd toe,no
HP:0006134,HP:0004010,t,t,t,enlarged metacarpal epiphyses,small radial epiphyses,no
HP:0006134,HP:0100108,t,t,t,enlarged metacarpal epiphyses,small epiphysis of the distal phalanx of the 2nd toe,no
HP:0006134,HP:0009390,t,t,t,enlarged metacarpal epiphyses,small epiphyses of the 5th finger,no
HP:0100069,HP:0100063,t,t,t,enlarged epiphyses of the 4th toe,small epiphyses of the 3rd toe,no
HP:0100069,HP:0012284,t,t,t,enlarged epiphyses of the 4th toe,small proximal tibial epiphyses,no
HP:0100069,HP:0010146,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the distal phalanx of the hallux,no
HP:0100069,HP:0010265,t,t,t,enlarged epiphyses of the 4th toe,small epiphyses of the middle phalanges of the hand,no
HP:0100069,HP:0009418,t,t,t,enlarged epiphyses of the 4th toe,small epiphyses of the 3rd finger,no
HP:0100069,HP:0009343,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the distal phalanx of the 3rd finger,no
HP:0100069,HP:0009694,t,t,t,enlarged epiphyses of the 4th toe,small thumb epiphysis,no
HP:0100069,HP:0010135,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the proximal phalanx of the hallux,no
HP:0100069,HP:0010170,t,t,t,enlarged epiphyses of the 4th toe,small epiphyses of the toes,no
HP:0100069,HP:0100154,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the middle phalanx of the 3rd toe,no
HP:0100069,HP:0009211,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the middle phalanx of the 5th finger,no
HP:0100069,HP:0100052,t,t,t,enlarged epiphyses of the 4th toe,small epiphyses of the 2nd toe,no
HP:0100069,HP:0009521,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the middle phalanx of the 2nd finger,no
HP:0100069,HP:0009222,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the middle phalanx of the 4th finger,no
HP:0100069,HP:0003844,t,t,t,enlarged epiphyses of the 4th toe,small epiphyses of the upper limbs,no
HP:0100069,HP:0010023,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the 1st metacarpal,no
HP:0100069,HP:0003900,t,t,t,enlarged epiphyses of the 4th toe,small humeral epiphyses,no
HP:0100069,HP:0100165,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the proximal phalanx of the 3rd toe,no
HP:0100069,HP:0100221,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the middle phalanx of the 5th toe,no
HP:0100069,HP:0009401,t,t,t,enlarged epiphyses of the 4th toe,small epiphyses of the 4th finger,no
HP:0100069,HP:0009194,t,t,t,enlarged epiphyses of the 4th toe,small epiphyses of the metacarpals,no
HP:0100069,HP:0009496,t,t,t,enlarged epiphyses of the 4th toe,small epiphyses of the 2nd finger,no
HP:0100069,HP:0010254,t,t,t,enlarged epiphyses of the 4th toe,small epiphyses of the distal phalanges of the hand,no
HP:0100069,HP:0010121,t,t,t,enlarged epiphyses of the 4th toe,small epiphyses of the hallux,no
HP:0100069,HP:0009532,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the proximal phalanx of the 2nd finger,no
HP:0100069,HP:0100188,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the middle phalanx of the 4th toe,no
HP:0100069,HP:0010276,t,t,t,enlarged epiphyses of the 4th toe,small epiphyses of the proximal phalanges of the hand,no
HP:0100069,HP:0100232,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the proximal phalanx of the 5th toe,no
HP:0100069,HP:0100143,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the distal phalanx of the 3rd toe,no
HP:0100069,HP:0010585,t,t,t,enlarged epiphyses of the 4th toe,small epiphyses,yes
HP:0100069,HP:0009354,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the proximal phalanx of the 3rd finger,no
HP:0100069,HP:0009258,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the distal phalanx of the 4th finger,no
HP:0100069,HP:0100130,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the proximal phalanx of the 2nd toe,no
HP:0100069,HP:0009672,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the proximal phalanx of the thumb,no
HP:0100069,HP:0009159,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the proximal phalanx of the 5th finger,no
HP:0100069,HP:0009269,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the proximal phalanx of the 4th finger,no
HP:0100069,HP:0100085,t,t,t,enlarged epiphyses of the 4th toe,small epiphyses of the 5th toe,no
HP:0100069,HP:0010236,t,t,t,enlarged epiphyses of the 4th toe,small epiphyses of the phalanges of the hand,no
HP:0100069,HP:0100199,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the proximal phalanx of the 4th toe,no
HP:0100069,HP:0100210,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the distal phalanx of the 5th toe,no
HP:0100069,HP:0009510,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the distal phalanx of the 2nd finger,no
HP:0100069,HP:0009148,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the distal phalanx of the 5th finger,no
HP:0100069,HP:0009683,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the distal phalanx of the thumb,no
HP:0100069,HP:0009329,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the middle phalanx of the 3rd finger,no
HP:0100069,HP:0100119,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the middle phalanx of the 2nd toe,no
HP:0100069,HP:0004010,t,t,t,enlarged epiphyses of the 4th toe,small radial epiphyses,no
HP:0100069,HP:0100108,t,t,t,enlarged epiphyses of the 4th toe,small epiphysis of the distal phalanx of the 2nd toe,no
HP:0100069,HP:0009390,t,t,t,enlarged epiphyses of the 4th toe,small epiphyses of the 5th finger,no
HP:0100047,HP:0100063,t,t,t,enlarged epiphyses of the 2nd toe,small epiphyses of the 3rd toe,no
HP:0100047,HP:0012284,t,t,t,enlarged epiphyses of the 2nd toe,small proximal tibial epiphyses,no
HP:0100047,HP:0010146,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the distal phalanx of the hallux,no
HP:0100047,HP:0100177,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the distal phalanx of the 4th toe,no
HP:0100047,HP:0010265,t,t,t,enlarged epiphyses of the 2nd toe,small epiphyses of the middle phalanges of the hand,no
HP:0100047,HP:0009418,t,t,t,enlarged epiphyses of the 2nd toe,small epiphyses of the 3rd finger,no
HP:0100047,HP:0009343,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the distal phalanx of the 3rd finger,no
HP:0100047,HP:0100074,t,t,t,enlarged epiphyses of the 2nd toe,small epiphyses of the 4th toe,no
HP:0100047,HP:0009694,t,t,t,enlarged epiphyses of the 2nd toe,small thumb epiphysis,no
HP:0100047,HP:0010135,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the proximal phalanx of the hallux,no
HP:0100047,HP:0100154,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the middle phalanx of the 3rd toe,no
HP:0100047,HP:0009211,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the middle phalanx of the 5th finger,no
HP:0100047,HP:0009521,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the middle phalanx of the 2nd finger,no
HP:0100047,HP:0009222,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the middle phalanx of the 4th finger,no
HP:0100047,HP:0003844,t,t,t,enlarged epiphyses of the 2nd toe,small epiphyses of the upper limbs,no
HP:0100047,HP:0010023,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the 1st metacarpal,no
HP:0100047,HP:0003900,t,t,t,enlarged epiphyses of the 2nd toe,small humeral epiphyses,no
HP:0100047,HP:0100165,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the proximal phalanx of the 3rd toe,no
HP:0100047,HP:0100221,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the middle phalanx of the 5th toe,no
HP:0100047,HP:0009401,t,t,t,enlarged epiphyses of the 2nd toe,small epiphyses of the 4th finger,no
HP:0100047,HP:0009194,t,t,t,enlarged epiphyses of the 2nd toe,small epiphyses of the metacarpals,no
HP:0100047,HP:0009496,t,t,t,enlarged epiphyses of the 2nd toe,small epiphyses of the 2nd finger,no
HP:0100047,HP:0010254,t,t,t,enlarged epiphyses of the 2nd toe,small epiphyses of the distal phalanges of the hand,no
HP:0100047,HP:0010121,t,t,t,enlarged epiphyses of the 2nd toe,small epiphyses of the hallux,no
HP:0100047,HP:0009532,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the proximal phalanx of the 2nd finger,no
HP:0100047,HP:0100188,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the middle phalanx of the 4th toe,no
HP:0100047,HP:0010276,t,t,t,enlarged epiphyses of the 2nd toe,small epiphyses of the proximal phalanges of the hand,no
HP:0100047,HP:0100232,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the proximal phalanx of the 5th toe,no
HP:0100047,HP:0100143,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the distal phalanx of the 3rd toe,no
HP:0100047,HP:0010585,t,t,t,enlarged epiphyses of the 2nd toe,small epiphyses,no
HP:0100047,HP:0009354,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the proximal phalanx of the 3rd finger,no
HP:0100047,HP:0009258,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the distal phalanx of the 4th finger,no
HP:0100047,HP:0100130,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the proximal phalanx of the 2nd toe,yes
HP:0100047,HP:0009672,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the proximal phalanx of the thumb,no
HP:0100047,HP:0009159,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the proximal phalanx of the 5th finger,no
HP:0100047,HP:0009269,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the proximal phalanx of the 4th finger,no
HP:0100047,HP:0100085,t,t,t,enlarged epiphyses of the 2nd toe,small epiphyses of the 5th toe,no
HP:0100047,HP:0010236,t,t,t,enlarged epiphyses of the 2nd toe,small epiphyses of the phalanges of the hand,no
HP:0100047,HP:0100199,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the proximal phalanx of the 4th toe,no
HP:0100047,HP:0100210,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the distal phalanx of the 5th toe,no
HP:0100047,HP:0009510,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the distal phalanx of the 2nd finger,no
HP:0100047,HP:0009148,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the distal phalanx of the 5th finger,no
HP:0100047,HP:0009683,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the distal phalanx of the thumb,no
HP:0100047,HP:0009329,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the middle phalanx of the 3rd finger,no
HP:0100047,HP:0100119,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the middle phalanx of the 2nd toe,no
HP:0100047,HP:0004010,t,t,t,enlarged epiphyses of the 2nd toe,small radial epiphyses,no
HP:0100047,HP:0100108,t,t,t,enlarged epiphyses of the 2nd toe,small epiphysis of the distal phalanx of the 2nd toe,yes
HP:0100047,HP:0009390,t,t,t,enlarged epiphyses of the 2nd toe,small epiphyses of the 5th finger,no
HP:0003898,HP:0100063,t,t,t,large humeral epiphyses,small epiphyses of the 3rd toe,no
HP:0003898,HP:0012284,t,t,t,large humeral epiphyses,small proximal tibial epiphyses,no
HP:0003898,HP:0010146,t,t,t,large humeral epiphyses,small epiphysis of the distal phalanx of the hallux,no
HP:0003898,HP:0100177,t,t,t,large humeral epiphyses,small epiphysis of the distal phalanx of the 4th toe,no
HP:0003898,HP:0010265,t,t,t,large humeral epiphyses,small epiphyses of the middle phalanges of the hand,no
HP:0003898,HP:0009418,t,t,t,large humeral epiphyses,small epiphyses of the 3rd finger,no
HP:0003898,HP:0009343,t,t,t,large humeral epiphyses,small epiphysis of the distal phalanx of the 3rd finger,no
HP:0003898,HP:0100074,t,t,t,large humeral epiphyses,small epiphyses of the 4th toe,no
HP:0003898,HP:0009694,t,t,t,large humeral epiphyses,small thumb epiphysis,no
HP:0003898,HP:0010135,t,t,t,large humeral epiphyses,small epiphysis of the proximal phalanx of the hallux,no
HP:0003898,HP:0010170,t,t,t,large humeral epiphyses,small epiphyses of the toes,no
HP:0003898,HP:0100154,t,t,t,large humeral epiphyses,small epiphysis of the middle phalanx of the 3rd toe,no
HP:0003898,HP:0009211,t,t,t,large humeral epiphyses,small epiphysis of the middle phalanx of the 5th finger,no
HP:0003898,HP:0100052,t,t,t,large humeral epiphyses,small epiphyses of the 2nd toe,no
HP:0003898,HP:0009521,t,t,t,large humeral epiphyses,small epiphysis of the middle phalanx of the 2nd finger,no
HP:0003898,HP:0009222,t,t,t,large humeral epiphyses,small epiphysis of the middle phalanx of the 4th finger,no
HP:0003898,HP:0003844,t,t,t,large humeral epiphyses,small epiphyses of the upper limbs,yes
HP:0003898,HP:0010023,t,t,t,large humeral epiphyses,small epiphysis of the 1st metacarpal,no
HP:0003898,HP:0100165,t,t,t,large humeral epiphyses,small epiphysis of the proximal phalanx of the 3rd toe,no
HP:0003898,HP:0100221,t,t,t,large humeral epiphyses,small epiphysis of the middle phalanx of the 5th toe,no
HP:0003898,HP:0009401,t,t,t,large humeral epiphyses,small epiphyses of the 4th finger,no
HP:0003898,HP:0009194,t,t,t,large humeral epiphyses,small epiphyses of the metacarpals,no
HP:0003898,HP:0009496,t,t,t,large humeral epiphyses,small epiphyses of the 2nd finger,no
HP:0003898,HP:0010254,t,t,t,large humeral epiphyses,small epiphyses of the distal phalanges of the hand,no
HP:0003898,HP:0010121,t,t,t,large humeral epiphyses,small epiphyses of the hallux,no
HP:0003898,HP:0009532,t,t,t,large humeral epiphyses,small epiphysis of the proximal phalanx of the 2nd finger,no
HP:0003898,HP:0100188,t,t,t,large humeral epiphyses,small epiphysis of the middle phalanx of the 4th toe,no
HP:0003898,HP:0010276,t,t,t,large humeral epiphyses,small epiphyses of the proximal phalanges of the hand,no
HP:0003898,HP:0100232,t,t,t,large humeral epiphyses,small epiphysis of the proximal phalanx of the 5th toe,no
HP:0003898,HP:0100143,t,t,t,large humeral epiphyses,small epiphysis of the distal phalanx of the 3rd toe,no
HP:0003898,HP:0010585,t,t,t,large humeral epiphyses,small epiphyses,yes
HP:0003898,HP:0009354,t,t,t,large humeral epiphyses,small epiphysis of the proximal phalanx of the 3rd finger,no
HP:0003898,HP:0009258,t,t,t,large humeral epiphyses,small epiphysis of the distal phalanx of the 4th finger,no
HP:0003898,HP:0100130,t,t,t,large humeral epiphyses,small epiphysis of the proximal phalanx of the 2nd toe,no
HP:0003898,HP:0009672,t,t,t,large humeral epiphyses,small epiphysis of the proximal phalanx of the thumb,no
HP:0003898,HP:0009159,t,t,t,large humeral epiphyses,small epiphysis of the proximal phalanx of the 5th finger,no
HP:0003898,HP:0009269,t,t,t,large humeral epiphyses,small epiphysis of the proximal phalanx of the 4th finger,no
HP:0003898,HP:0100085,t,t,t,large humeral epiphyses,small epiphyses of the 5th toe,no
HP:0003898,HP:0010236,t,t,t,large humeral epiphyses,small epiphyses of the phalanges of the hand,no
HP:0003898,HP:0100199,t,t,t,large humeral epiphyses,small epiphysis of the proximal phalanx of the 4th toe,no
