hpo_id1,hpo_term1,hpo_id2,hpo_term2,inverse_verified_by_llm_openai,inverse_verified_by_llm_deepseek,inverse_verified_by_llm_claude,inverse_verified_by_llm_llama,inverse_verified_by_llm_gemini,inverse_verified_by_llm_grok,inverse_verified_by_llm_qwen
HP:0030851,Low pulse pressure,HP:0030852,High pulse pressure,yes,yes,yes,yes,yes,yes,no
HP:0030985,Decreased serum bile acid concentration,HP:0012202,Increased serum bile acid concentration,yes,yes,yes,yes,yes,yes,no
HP:0031085,Decreased circulating prealbumin concentration,HP:0033451,Increased circulating prealbumin concentration,yes,yes,yes,yes,yes,yes,no
HP:0031098,Decreased thyroid-stimulating hormone level,HP:0002925,Elevated circulating thyroid-stimulating hormone concentration,yes,no,yes,yes,yes,yes,yes
HP:0031141,Increased hepatic echogenicity,HP:0031143,Decreased hepatic echogenicity,yes,yes,yes,yes,yes,yes,no
HP:0031214,Decreased circulating dehydroepiandrosterone concentration,HP:0034908,Increased circulating dehydroepiandrosterone concentration,yes,yes,yes,yes,yes,yes,no
HP:0031215,Decreased circulating dehydroepiandrosterone-sulfate concentration,HP:0034589,Increased circulating dehydroepiandrosterone-sulfate concentration,yes,yes,yes,yes,yes,yes,no
HP:0031219,Reduced radioactive iodine uptake,HP:0031220,Increased radioactive iodine uptake,yes,yes,yes,yes,yes,yes,no
HP:0031230,Decreased incisura length,HP:0031229,Increased incisura length,yes,yes,yes,yes,yes,yes,no
HP:0031245,Productive cough,HP:0031246,Nonproductive cough,yes,yes,yes,yes,yes,yes,no
HP:0031413,Short telomere length,HP:6000036,Long telomere length,yes,yes,yes,yes,yes,yes,no
HP:0031426,Decreased circulating beta-C-terminal telopeptide concentration,HP:0031425,Increased circulating beta-C-terminal telopeptide concentration,yes,yes,yes,yes,yes,yes,no
HP:0031429,Decreased circulating osteocalcin level,HP:0031428,Increased circulating osteocalcin level,yes,yes,yes,yes,yes,yes,no
HP:0031808,Decreased basophil count,HP:0031807,Increased basophil count,yes,yes,yes,yes,yes,yes,no
HP:0031820,Decreased waist to hip ratio,HP:0031819,Increased waist to hip ratio,yes,yes,yes,yes,yes,yes,no
HP:0031831,Decreased serum zinc,HP:0011424,Increased serum zinc,yes,yes,yes,yes,yes,yes,no
HP:0031837,Decreased circulating superoxide dismutase concentration,HP:0031836,Increased circulating superoxide dismutase concentration,yes,yes,yes,yes,yes,yes,no
HP:0031843,Abnormally slow thought process,HP:0033844,Racing thoughts,yes,no,yes,yes,yes,yes,yes
HP:0031861,Decreased heart rate variability,HP:0031862,Increased heart rate variability,yes,yes,yes,yes,yes,yes,no
HP:0031997,Early inspiratory crackles,HP:0031998,Late inspiratory crackles,no,no,no,no,yes,yes,no
HP:0032125,Increased proportion of unswitched memory B cells,HP:0032126,Decreased proportion of unswitched memory B cells,yes,yes,yes,yes,yes,yes,no
HP:0032129,Decreased proportion of plasmablasts,HP:0032128,Increased proportion of plasmablasts,yes,yes,yes,yes,yes,yes,no
HP:0032136,Decreased circulating IgG1 concentration,HP:0032298,Increased circulating IgG1 level,yes,no,yes,yes,yes,yes,yes
HP:0032164,Increased blood folate concentration,HP:0100507,Reduced blood folate concentration,yes,yes,yes,yes,yes,yes,no
HP:0032198,Decreased prothrombin time,HP:0008151,Prolonged prothrombin time,yes,yes,yes,yes,yes,yes,no
HP:0032305,Decreased circulating mannose-binding protein concentration,HP:0032306,Increased circulating mannose-binding protein concentration,yes,yes,yes,yes,yes,yes,no
HP:0032312,Decreased circulating globulin level,HP:0032311,Increased circulating globulin level,yes,yes,yes,yes,yes,yes,no
HP:0032363,Decreased circulating corticosterone level,HP:0032362,Increased circulating corticosterone level,yes,yes,yes,yes,yes,yes,no
HP:0032423,Decreased HDL2b concentration,HP:0032424,Increased HDL2b concentration,yes,yes,yes,yes,yes,yes,no
HP:0032429,Decreased HDL3a concentration,HP:0032428,Increased HDL3a concentration,yes,yes,yes,yes,yes,yes,no
HP:0032431,Decreased HDL3b concentration,HP:0032430,Increased HDL3b concentration,yes,yes,yes,yes,yes,yes,no
HP:0032460,Decreased phosphoribosylpyrophosphate synthetase level,HP:0003240,Increased phosphoribosylpyrophosphate synthetase level,yes,yes,yes,yes,yes,yes,no
HP:0032675,Acute cutaneous wound,HP:0032676,Chronic cutaneous wound,no,no,no,no,yes,yes,yes
HP:0032994,Supernumerary pulmonary fissure,HP:0032995,Decreased pulmonary fissure count,yes,no,no,yes,yes,yes,yes
HP:0032997,Decreased cystatin C level,HP:0032998,Increased cystatin C level,yes,yes,yes,yes,yes,yes,no
HP:0033078,Decreased circulating free T4 concentration,HP:0033077,Increased circulating free T4 concentration,yes,yes,yes,yes,yes,yes,no
HP:0033199,Increased circulating interleukin 10 concentration,HP:0034163,Reduced circulating interleukin 10 concentration,yes,yes,yes,yes,yes,yes,no
HP:0033202,Brachioradialis hyporeflexia,HP:0033203,Brachioradialis hyperreflexia,yes,yes,yes,yes,yes,yes,no
HP:0033211,Decreased total iron binding capacity,HP:0025196,Increased total iron binding capacity,yes,yes,yes,yes,yes,yes,no
HP:0033222,Decreased CD4:CD8 ratio,HP:0033221,Increased CD4:CD8 ratio,yes,yes,yes,yes,yes,yes,no
HP:0033299,Reduced circulating complement factor H related protein 1 concentration,HP:0033300,Increased circulating complement factor H related protein 1 concentration,yes,yes,yes,yes,yes,yes,no
HP:0033531,Decreased cardiac index,HP:0033530,Increased cardiac index,yes,yes,yes,yes,yes,yes,no
HP:0033532,Decreased cardiac output,HP:0033533,Increased cardiac output,yes,yes,yes,yes,yes,yes,no
HP:0033748,Hypoesthesia,HP:0100963,Hyperesthesia,yes,yes,yes,yes,yes,yes,no
HP:0033765,Death in late adulthood,HP:0100613,Death in early adulthood,yes,no,yes,yes,yes,yes,yes
HP:0033812,Decreased circulating androstenedione concentration,HP:0025380,Increased circulating androstenedione concentration,yes,yes,yes,yes,yes,yes,no
HP:0033911,Cortical radial artery medial hypertrophy,HP:0033912,Cortical radial artery medial atrophy,yes,no,yes,yes,yes,yes,yes
HP:0033972,Interlobular vein medial atrophy,HP:0033973,Interlobular vein medial hypertrophy,yes,yes,yes,yes,yes,yes,no
HP:0033985,Elongated femoral neck,HP:0100864,Short femoral neck,yes,yes,yes,yes,yes,yes,no
HP:0034165,Reduced circulating interleukin 21 concentration,HP:0034166,Increased circulating interleukin 21 concentration,yes,yes,yes,yes,yes,yes,no
HP:0034168,Reduced circulating interleukin 22 concentration,HP:0034169,Increased circulating interleukin 22 concentration,yes,yes,yes,yes,yes,yes,no
HP:0034174,Reduced circulating interleukin 27 concentration,HP:0034175,Increased circulating interleukin 27 concentration,yes,yes,yes,yes,yes,yes,no
HP:0034237,Open neural tube defect,HP:0034238,Closed neural tube defect,no,yes,no,yes,yes,yes,yes
HP:0034712,Decreased circulating alpha-mannosidase activity,HP:4000191,Increased circulating alpha-mannosidase activity,yes,yes,yes,yes,yes,yes,no
HP:0034740,Reduced CSF methionine concentration,HP:0500210,Increased CSF methionine concentration,yes,yes,yes,yes,yes,yes,no
HP:0040013,Decreased mitochondrial number,HP:0040014,Increased mitochondrial number,yes,yes,yes,yes,yes,yes,no
HP:0040030,Chorioretinal hypopigmentation,HP:0040031,Chorioretinal hyperpigmentation,yes,yes,yes,yes,yes,yes,no
HP:0040053,Long lower eyelashes,HP:0040055,Short lower eyelashes,yes,yes,yes,yes,yes,yes,no
HP:0040179,Decreased level of platelet-activating factor,HP:0040178,Increased level of platelet-activating factor,yes,yes,yes,yes,yes,yes,no
HP:0040299,Decreased circulating free fatty acid level,HP:0030781,Increased circulating free fatty acid level,yes,yes,yes,yes,yes,yes,no
HP:0040303,Decreased circulating iron concentration,HP:0003452,Increased circulating iron concentration,yes,yes,yes,yes,yes,yes,no
HP:0040309,Increased size of the mandible,HP:0000347,Micrognathia,yes,yes,no,yes,yes,yes,no
HP:0040329,Multifocal hyperintensity of cerebral white matter on MRI,HP:0040332,Multifocal hypointensity of cerebral white matter on MRI,yes,yes,no,yes,no,yes,yes
HP:0040426,Decreased urinary hypoxanthine level,HP:0011814,Increased urinary hypoxanthine level,yes,yes,yes,yes,yes,yes,no
HP:0041079,Decreased body fat percentage,HP:0025521,Increased body fat percentage,yes,yes,yes,yes,yes,yes,no
HP:0045011,Decreased urine bicarbonate concentration,HP:0003646,Bicarbonaturia,no,no,no,yes,yes,yes,yes
HP:0046504,Decreased libido,HP:0046503,Increased libido,yes,yes,yes,yes,yes,yes,no
HP:0100080,Enlarged epiphyses of the 5th toe,HP:0100085,Small epiphyses of the 5th toe,yes,yes,yes,yes,yes,yes,no
HP:0100103,Enlarged epiphysis of the distal phalanx of the 2nd toe,HP:0100108,Small epiphysis of the distal phalanx of the 2nd toe,yes,yes,yes,yes,yes,yes,no
HP:0100125,Enlarged epiphysis of the proximal phalanx of the 2nd toe,HP:0100130,Small epiphysis of the proximal phalanx of the 2nd toe,yes,yes,yes,yes,yes,yes,no
HP:0100138,Enlarged epiphysis of the distal phalanx of the 3rd toe,HP:0100143,Small epiphysis of the distal phalanx of the 3rd toe,yes,yes,yes,yes,yes,yes,no
HP:0100149,Enlarged epiphysis of the middle phalanx of the 3rd toe,HP:0100154,Small epiphysis of the middle phalanx of the 3rd toe,yes,yes,yes,yes,yes,yes,no
HP:0100160,Enlarged epiphysis of the proximal phalanx of the 3rd toe,HP:0100165,Small epiphysis of the proximal phalanx of the 3rd toe,yes,yes,yes,yes,yes,yes,no
HP:0100172,Enlarged epiphysis of the distal phalanx of the 4th toe,HP:0100177,Small epiphysis of the distal phalanx of the 4th toe,yes,yes,yes,yes,yes,yes,no
HP:0100194,Enlarged epiphysis of the proximal phalanx of the 4th toe,HP:0100199,Small epiphysis of the proximal phalanx of the 4th toe,yes,yes,yes,yes,yes,yes,no
HP:0100227,Enlarged epiphysis of the proximal phalanx of the 5th toe,HP:0100232,Small epiphysis of the proximal phalanx of the 5th toe,yes,yes,yes,yes,yes,yes,no
HP:0100281,Chronic colitis,HP:0100282,Acute colitis,no,no,no,no,no,yes,yes
HP:0100625,Enlarged thorax,HP:0005257,Thoracic hypoplasia,yes,yes,yes,yes,yes,yes,no
HP:0100878,Enlarged uterus,HP:0000013,Hypoplasia of the uterus,yes,no,yes,yes,yes,yes,yes
HP:0200119,Acute hepatitis,HP:0200123,Chronic hepatitis,no,no,no,no,yes,yes,no
HP:0410054,Decreased circulating GABA concentration,HP:0410053,Elevated circulating gamma-aminobutyric acid concentration,yes,yes,yes,yes,yes,yes,no
HP:0410145,Decreased circulating biotinidase concentration,HP:0410146,Elevated circulating biotinidase concentration,yes,yes,yes,yes,yes,yes,no
HP:0410188,Decreased glucose-6-phosphate dehydrogenase level in red blood cells,HP:0410189,Increased glucose-6-phosphate dehydrogenase level in red blood cells,yes,yes,yes,yes,yes,yes,no
HP:0410190,Decreased glucose-6-phosphate dehydrogenase level in leukocytes,HP:0410191,Increased glucose-6-phosphate dehydrogenase level in leukocytes,yes,yes,yes,yes,yes,yes,no
HP:0410198,Decreased erythrocyte UDP glucose-4-epimerase concentration,HP:0410197,Increased erythrocyte UDP glucose-4-epimerase concentration,yes,yes,yes,yes,yes,yes,no
HP:0410212,Hyperoxemia in cord blood,HP:0410213,Hypoxemia in cord blood,yes,yes,yes,yes,yes,yes,no
HP:0410214,Hypercapnia in cord blood,HP:0410215,Hypocapnia in cord blood,yes,yes,yes,yes,yes,yes,no
HP:0410318,Decreased urinary 3-methylhistidine,HP:0410317,Increased urinary 3-methylhistidine,yes,yes,yes,yes,yes,yes,no
HP:0410343,Decreased circulating heparan sulfate level,HP:0410342,Increased circulating heparan sulfate level,yes,yes,yes,yes,yes,yes,no
HP:0410358,Decreased high-mannose N-glycan level,HP:0410357,Increased high-mannose N-glycan level,yes,yes,yes,yes,yes,yes,no
HP:0410361,Decreased core 1 O-glycan level,HP:0410360,Increased core 1 O-glycan level,yes,yes,yes,yes,yes,yes,no
HP:0410385,"Decreased proportion of CD8-positive, alpha-beta memory T cells",HP:0410392,"Increased proportion of CD8-positive, alpha-beta memory T cells",yes,yes,yes,yes,yes,yes,no
HP:0410386,"Decreased proportion of CD4-positive, alpha-beta memory T cells",HP:0410391,"Increased proportion of CD4-positive, alpha-beta memory T cells",yes,yes,yes,yes,yes,yes,no
HP:0410388,"Decreased proportion of central memory CD4-positive, alpha-beta T cells",HP:0410393,"Increased proportion of central memory CD4-positive, alpha-beta T cells",yes,yes,yes,yes,yes,yes,no
HP:0410390,"Decreased proportion of effector memory CD8-positive, alpha-beta T cells",HP:0410395,"Increased proportion of effector memory CD8-positive, alpha-beta T cells",yes,yes,yes,yes,yes,yes,no
HP:0430073,Decreased circulating beta-carotene concentration,HP:0430074,Increased circulating beta-carotene concentration,yes,yes,yes,yes,yes,yes,no
HP:0500134,Hypertryptophanemia,HP:0500135,Hypotryptophanemia,yes,yes,yes,yes,yes,yes,no
HP:0500156,Hyperasparaginemia,HP:0500157,Hypoasparaginemia,yes,yes,yes,yes,yes,yes,no
HP:0500161,Increased circulating carnosine concentration,HP:0500162,Decreased circulating carnosine concentration,yes,yes,yes,yes,yes,yes,no
HP:0500190,Decreased CSF leucine concentration,HP:0500191,Increased CSF leucine concentration,yes,yes,yes,yes,yes,yes,no
HP:0500193,Increased CSF isoleucine concentration,HP:0500194,Decreased CSF isoleucine concentration,yes,yes,yes,yes,yes,yes,no
HP:0500200,Increased CSF glutamate concentration,HP:0500201,Decreased CSF glutamate concentration,yes,yes,yes,yes,yes,yes,no
HP:0500203,Increased CSF arginine concentration,HP:0500204,Decreased CSF arginine concentration,yes,yes,yes,yes,yes,yes,no
HP:0500213,Decreased CSF threonine concentration,HP:0500212,Increased CSF threonine concentration,yes,yes,yes,yes,yes,yes,no
HP:0500221,Decreased CSF tyrosine concentration,HP:0500220,Increased CSF tyrosine concentration,yes,yes,yes,yes,yes,yes,no
HP:0500223,Increased CSF phenylalanine concentration,HP:0500224,Decreased CSF phenylalanine concentration,yes,yes,yes,yes,yes,yes,no
HP:0500233,Increased CSF alanine concentration,HP:0500234,Decreased CSF alanine concentration,yes,yes,yes,yes,yes,yes,no
HP:0500236,Increased CSF histidine concentration,HP:0500237,Decreased CSF histidine concentration,yes,yes,yes,yes,yes,yes,no
HP:0500270,Increased proportion of gamma-delta T cells,HP:0500271,Decreased proportion of gamma-delta T cells,yes,yes,yes,yes,yes,yes,no
HP:4000050,Open fracture,HP:4000051,Closed fracture,yes,yes,yes,yes,yes,yes,no
HP:4000158,Typified by high penetrance,HP:4000160,Typified by low penetrance,no,yes,yes,yes,yes,yes,yes
HP:5200320,Diminishment of relationship seeking,HP:5200315,Amplification of relationship seeking,yes,yes,yes,yes,yes,yes,no
HP:5201000,Incomplete unilateral cleft lip,HP:5201001,Complete unilateral cleft lip,no,no,no,yes,no,yes,no
HP:5201003,Complete cleft hard palate,HP:5201004,Incomplete cleft hard palate,no,no,no,yes,no,no,no
HP:5201005,Complete cleft soft palate,HP:5201006,Incomplete cleft soft palate,no,no,no,yes,no,no,no
HP:5201007,Incomplete cleft maxillary alveolar ridge,HP:5201008,Complete cleft maxillary alveolar ridge,yes,yes,no,yes,no,yes,yes
HP:5201011,Complete bilateral cleft lip,HP:5201012,Incomplete bilateral cleft lip,no,no,no,no,no,no,yes
